observation,Time
,Jun-07
,Aug-07
,Feb-08
,Jun-08
112.3,Jan-22
,Aug-13
,Mar-14
,Sep-14
,Mar-05
,Aug-05
,Apr-12
,Jan-10
,Sep-10
,Nov-07
,Feb-09
,Oct-10
102.6,Jan-16
104.8,Jan-17
105.8,Nov-17
106.1,Apr-18
107.8,Jul-19
107.9,Aug-19
,May-11
,Oct-11
100.9,May-15
106.5,Aug-18
102.1,Nov-15
108.7,Feb-20
103.4,May-16
106.0,Jan-18
121.1,Aug-23
123.4,Nov-23
109.0,Apr-20
109.7,Oct-20
,Aug-12
,Jan-11
,Jun-11
,Aug-11
,Nov-11
,Feb-12
,Feb-05
,Apr-05
,Mar-06
,Feb-11
,Jun-09
,Jul-10
,May-06
,Jul-06
,Oct-08
,Nov-08
102.7,Feb-16
,Apr-11
100.0,Jan-15
100.2,Feb-15
101.2,Jul-15
101.8,Oct-15
104.2,Oct-16
105.3,Jun-17
107.1,Jan-19
107.3,Mar-19
107.6,May-19
,Jan-13
,Mar-13
,Jul-13
,Sep-13
,Mar-11
,Sep-11
,Dec-11
,Nov-12
,Feb-13
,Apr-13
,Jan-05
,Oct-06
,Aug-10
109.8,Nov-20
110.1,Feb-21
110.3,Apr-21
111.1,Sep-21
113.2,Apr-22
116.2,Nov-22
,Jul-05
,Sep-05
,Aug-06
115.6,Oct-22
104.9,Mar-17
105.4,Jul-17
105.5,Aug-17
106.0,Feb-18
106.2,May-18
102.9,Mar-16
103.8,Aug-16
105.1,Apr-17
106.8,Nov-18
108.0,Sep-19
110.0,Jan-21
112.5,Feb-22
113.6,May-22
116.7,Dec-22
118.7,Apr-23
106.7,Oct-18
109.3,Jun-20
111.4,Oct-21
111.7,Nov-21
112.0,Dec-21
118.1,Mar-23
122.7,Oct-23
117.3,Jan-23
119.8,Jun-23
,Feb-10
,Mar-10
,May-10
,Dec-10
105.6,Sep-17
106.6,Sep-18
104.4,Nov-16
104.6,Dec-16
106.1,Mar-18
,Feb-14
,Jun-10
,Dec-13
,Jun-14
,Aug-14
,Nov-14
,May-05
,Oct-05
,Mar-07
,Dec-08
,Nov-09
,May-08
,Apr-09
,Dec-12
,Oct-07
,Nov-06
,Dec-07
,Jul-12
,Sep-12
,Apr-14
,Nov-05
,Dec-06
,Jan-07
,Mar-08
,Sep-08
100.3,Mar-15
101.5,Aug-15
101.7,Sep-15
104.9,Feb-17
105.2,May-17
107.2,Feb-19
108.1,Oct-19
108.3,Nov-19
,Dec-09
,Apr-10
,Sep-09
,Oct-09
,Jul-11
,Jan-12
,May-12
,Jun-12
,Oct-12
,Mar-09
,May-13
,Jun-13
,Aug-09
,Jul-14
,Jun-05
,Feb-06
,Jul-07
,Jan-08
,Apr-08
,Aug-08
,Mar-12
,Oct-13
,Jan-14
,Dec-14
,Sep-07
,Jul-08
,Jan-09
101.0,Jun-15
104.0,Sep-16
105.7,Oct-17
106.4,Jul-18
110.0,Dec-20
114.3,Jul-22
114.7,Aug-22
107.4,Apr-19
108.6,Jan-20
109.6,Sep-20
110.2,Mar-21
120.4,Jul-23
124.6,Jan-24
,Nov-13
,May-14
,Oct-14
100.6,Apr-15
102.2,Dec-15
103.6,Jul-16
105.9,Dec-17
107.0,Dec-18
109.3,Jul-20
110.9,Aug-21
112.8,Mar-22
123.9,Dec-23
110.6,Jun-21
110.7,Jul-21
113.9,Jun-22
115.2,Sep-22
121.8,Sep-23
103.2,Apr-16
103.4,Jun-16
106.3,Jun-18
107.7,Jun-19
108.5,Dec-19
108.8,Mar-20
109.2,May-20
109.5,Aug-20
110.4,May-21
117.7,Feb-23
119.2,May-23
,Apr-06
,Sep-06
,Apr-07
,May-07
,Dec-05
,Jan-06
,Jun-06
,Feb-07
,May-09
,Jul-09
,Nov-10
