observation,Time
34217964,jun-aug-2021
34455908,nov-jan-2020
34375638,jan-mar-2020
34072066,jan-mar-2022
34060261,may-jul-2020
35364944,jul-sep-2024
34374151,oct-dec-2019
33832842,mar-may-2021
34119565,nov-jan-2022
34192475,apr-jun-2022
34456911,nov-jan-2023
34307059,jul-sep-2019
35070541,may-jul-2024
33912161,apr-jun-2020
34843305,feb-apr-2024
35645659,feb-apr-2025
34184890,apr-jun-2019
34091485,oct-dec-2020
34137067,feb-apr-2022
34739755,oct-dec-2023
34498926,dec-feb-2020
34762764,jun-aug-2023
34701274,jan-mar-2023
34721761,dec-feb-2024
34785913,may-jul-2023
35587524,jan-mar-2025
34202026,sep-nov-2021
33972190,jan-mar-2021
34398701,aug-oct-2022
34085971,feb-apr-2019
34065767,jan-mar-2019
34225599,may-jul-2019
34575119,dec-feb-2023
34679297,nov-jan-2024
35405328,sep-nov-2024
35524427,dec-feb-2025
34131598,jul-sep-2020
34426143,sep-nov-2022
34873809,aug-oct-2023
34855592,apr-jun-2024
34832645,jan-mar-2024
34828790,mar-may-2024
35259229,jun-aug-2024
34278232,jun-aug-2019
34158420,feb-apr-2020
33986227,mar-may-2020
34080668,may-jul-2021
33898573,feb-apr-2021
34860233,jul-sep-2023
33927342,apr-jun-2021
34058668,dec-feb-2022
34717974,apr-jun-2023
34134121,jun-aug-2020
34018755,dec-feb-2021
34032522,nov-jan-2021
34298027,aug-oct-2019
34218931,jun-aug-2022
34389355,sep-nov-2019
35414921,nov-jan-2025
34790932,feb-apr-2023
34186980,oct-dec-2021
34211686,sep-nov-2020
34784799,sep-nov-2023
34282609,jul-sep-2022
34746185,mar-may-2023
35386592,aug-oct-2024
34053507,mar-may-2019
34491296,oct-dec-2022
34304678,jul-sep-2021
34179876,aug-oct-2020
34272335,aug-oct-2021
34151515,may-jul-2022
35431636,oct-dec-2024
34214270,mar-may-2022
