name,description,url,release_date
Ability to speak Welsh by NS-SEC,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in Wales by ability to speak Welsh and by NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM151,
Ability to speak Welsh by employment history,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in Wales by ability to speak Welsh and by whether and when they were last employed. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM154,
Ability to speak Welsh by industry,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in Wales by ability to speak Welsh by industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM149,
Ability to speak Welsh by national identity by age,"This dataset provides Census 2021 estimates that classify usual residents in Wales aged 3 years and over in Wales by ability to speak Welsh, by national identity, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM150,
Ability to speak Welsh by occupation,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in Wales by ability to speak Welsh and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM152,
Ability to speak Welsh by tenure - Household Reference Persons,"This dataset provides Census 2021 estimates that classify Household Reference Persons in Wales by ability to speak Welsh and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM153,
Accommodation type,"This dataset provides Census 2021 estimates that classify households in England and Wales by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS044,
Accommodation type by car or van availability by number of usual residents aged 17 years or over in household,"This dataset provides Census 2021 estimates that classify households in England and Wales by accommodation type, by car or van availability, and by number of usual residents aged 17 years or over in the household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM001,
Accommodation type by household size,"This dataset provides Census 2021 estimates that classify household spaces in England and Wales by accommodation type and by household size. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM002,
Accommodation type by type of central heating in household by tenure,"This dataset provides Census 2021 estimates that classify households in England and Wales by accommodation type, by type of central heating in household, and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM003,
Age by single year,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by single year of age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS007,
Age of arrival in the UK,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their age of arrival in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS018,
Age of youngest dependent child by household type,"This dataset provides Census 2021 estimates that classify households in England and Wales by age of youngest dependent child and by household type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM006,
"Annual GDP for England, Wales and the English regions","Annual economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, Greater London, South East, South West).",https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-year,
Car or van availability,"This dataset provides Census 2021 estimates on the number of cars or vans available to members of households for England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS045,
Car or van availability by household composition,"This dataset provides Census 2021 estimates that classify households in England and Wales by car or van availability and by household composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM008,
Central heating,"This dataset provides Census 2021 estimates that classify occupied household spaces in England and Wales by the type of central heating present. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS046,
Children's Well-being Measures,"How children aged 0 to 15 years in the UK are coping in a range of areas that matter to their quality of life, reflecting the circumstances of their lives and their own perspectives.

This is a subset of the children's well-being indicators. For the full dataset, please see 'Children's well-being and social relationships, UK: 2018' in the 'Related datasets' section.",https://api.beta.ons.gov.uk/v1/datasets/childrens-wellbeing,
Communal establishment management and type,"This dataset provides Census 2021 estimates that classify communal establishment residents in England and Wales by the type of communal establishment they reside in. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS048,
Communal establishment management and type- communal establishments,"This dataset provides Census 2021 estimates that classify communal establishments in England and Wales by the type of communal establishment. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM196,
Communal establishment residents by age and sex,"This dataset provides Census 2021 estimates that classify communal establishment residents in England and Wales by age and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS047,
Concealed family status by family type by dependent children by age of Family Reference Person,"This dataset provides Census 2021 estimates that classify families in England and Wales by family type, by dependent children and by age of the Family Reference Person. The estimates are as at Census Day, 21 March 2021. A concealed family is one that does not include the Household Reference Person.",https://api.beta.ons.gov.uk/v1/datasets/RM009,
Consumer Prices Index including owner occupiers' housing costs (CPIH),"CPIH is the most comprehensive measure of inflation. It extends CPI to include a measure of the costs associated with owning, maintaining and living in one's own home, known as owner occupiers' housing costs (OOH), along with council tax. This dataset provides CPIH time series (2005 to latest published month), allowing users to customise their own selection, view or download.",https://api.beta.ons.gov.uk/v1/datasets/cpih01,
Coronavirus and the latest indicators for the UK economy and society: Shipping indicators,"These shipping indicators are based on counts of all vessels, and cargo and tanker vessels. As discussed in Faster indicators of UK economic activity: shipping (please see the related links), we expect the shipping indicators to be related to the import and export of goods.",https://api.beta.ons.gov.uk/v1/datasets/faster-indicators-shipping-data,
Country of birth,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS004,
Country of birth (detailed),"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their country of birth. The estimates are as at Census Day, 21 March 2021.

Following analysis after publishing topic summaries data, we released data at extra geography levels for some datasets.",https://api.beta.ons.gov.uk/v1/datasets/TS012,
Country of birth by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by country of birth and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM011,
Country of birth by ethnic group,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by country of birth and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM010,
Death registrations and occurrences by health board and place of death,"Provisional counts of the number of deaths registered in Wales, by health board and place of death, in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board,
Death registrations and occurrences by local authority and place of death,"Provisional counts of the number of deaths registered in England and Wales, including deaths involving the coronavirus (COVID-19), by local authority, health board and place of death in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority,
Deaths registered weekly in England and Wales by age and sex,"Provisional counts of the number of deaths registered in England and Wales, by age and sex, in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex,
Deaths registered weekly in England and Wales by region,"Provisional counts of the number of deaths registered in England and Wales, by region, in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region,
Dependent children by ethnic group of Household Reference Person by age,"This dataset provides Census 2021 estimates that classify usually resident dependent children in England and Wales by ethnic group of Household Reference Person and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM012,
Disability,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by long-term health problems or disabilities. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS038,
Disability by NS-SEC by age,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by disability, by NS-SEC, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM070,
Disability by ability to speak Welsh by age,"This dataset provides Census 2021 estimates that classify usual residents in Wales aged 3 years and over in Wales by disability, by ability to speak Welsh, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM157,
Disability by car or van availability,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by disability and by car or van availability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM068,
Disability by general health by age,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by disability, by general health, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM069,
Disability by provision of unpaid care by sex,"This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in households in England and Wales by disability, by provision of unpaid care, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM071,
Disability by religion by sex,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by disability, by religion, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM072,
Disability by sex by age,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by disability, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM073,
"Disability, age-standardised proportions","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by long-term health problems or disabilities. The estimates are as at Census Day, 21 March 2021. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",https://api.beta.ons.gov.uk/v1/datasets/TS038ASP,
Distance travelled to work,"This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by the distance they travelled to work. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS058,
Distance travelled to work by age,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by distance travelled to work and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM014,
Distance travelled to work by car or van availability,"This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by distance travelled to work and by car or van availability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM015,
Distance travelled to work by occupation,"This dataset provides Census 2021 estimates that classify usual residents in England and Wales by distance travelled to work and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM016,
Dwelling type,"This dataset provides Census 2021 estimates that classify dwellings in England and Wales by whether they are a shared or unshared dwelling, with shared dwellings further categorised by the number of household spaces in each dwelling. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM205,
"Earnings and Hours Worked, UK Region by Industry by Two-Digit SIC: ASHE Table 5","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region, and public and private sector, and non-profit bodies and mutual associations. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-table-5,
"Earnings and Hours Worked, Work and Residence-Based Travel to Work Area: ASHE Tables 11 and 12","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home-based and work-based travel to work area. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-11-and-12,
"Earnings and hours worked, UK region by public and private sector: ASHE Table 25","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region, and public and private sector, and non-profit bodies and mutual associations. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-25,
"Earnings and hours worked, age group by occupation by two-digit SOC: ASHE Table 20","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by age group and two-digit Standard Occupational Classification 2010. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-20,
"Earnings and hours worked, care workers: ASHE Table 26","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, for care workers, home carers and senior care workers as defined in the Standard Occupational Classification. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-26,
"Earnings and hours worked, place of work and place of residence by Parliamentary constituency: ASHE Tables 9 and 10","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home and work-based Parliamentary constituency. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-9-and-10,
