Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title,Retail Prices Index: Long run series: 1800 to 2024: Jan 1974=100
,,,,,,,,,,,,,,,,,,Non-CG Receipts,,,,,,,,,,,,,,Public sector net borrowing and debt,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Current and capital ,,By Function,,,,,,,,,,,,,PreUnit,
,Income tax1,National Insurance Contributions1,Capital Gains Tax1,Death duties/Inheritance tax,Business rates,Corporation tax (profits taxes prior to 1966-67)2,Petroleum Revenue tax (includes supplementary petroleum duty)3,Petroleum royalties3,Gas Levy3,Energy profits levy,Land and Assessed Taxes,Other business taxes1,VAT (Purchase tax prior to 1973)4,Custom and excise duties5,Stamp duties,License fee receipts,Other Central Government Receipts6,Council Tax (community charge and domestic rates prior to 1993),Other public sector taxes and receipts8,National Accounts Taxes,Total Central Government spending1,Current spending3,Public sector gross investment4,Defence5,Health6,Social Security7,o/w pensioners,o/w non-pensioners,Education8,Debt Interest9,Other Public Sector Spending10 ,Years,"Public sector net borrowing
(PSNB)1",Public sector net debt (PSND)2,Nominal GDP (£m)3,"Nominal GDP (March-centred, £m)4",Unit,"Index, base year = 100"
ONS present codes,LIBR-MS62,AIIH,MS62,ACCH,CUKY,CPRN,ACCJ,,,JIS6,,KIH3 + N43V,NZGF,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,GTBC,DH7A,Residual,NMHM,Residual,GCSU,ANLP + ANNS + NSRN,JW2Q,JW2Z + JW2S,,,,,,,NMFX,,Years,"Public sector net borrowing
(PSNB)1",Public sector net debt (PSND)2,Nominal GDP (£m)3,"Nominal GDP (March-centred, £m)4",Source dataset ID,MM23
1800-01,5,-,-,-,-,-,-,-,-,-,5,-,-,18,3,-,3,-,-,-,50,-,-,32,-,-,-,-,-,14,-,1800-01,21,508,355,393,1800,13.5
1801-02,5,-,-,-,-,-,-,-,-,-,5,-,-,21,3,-,5,-,-,-,55,-,-,33,-,-,-,-,-,18,-,1801-02,23,548,399,373,1801,15.1
1802-03,3,-,-,-,-,-,-,-,-,-,5,-,-,24,3,-,6,-,-,-,63,-,-,34,-,-,-,-,-,20,-,1802-03,13,564,359,357,1802,11.6
1803-04,1,-,-,-,-,-,-,-,-,-,6,-,-,28,4,-,6,-,-,-,54,-,-,25,-,-,-,-,-,20,-,1803-04,11,579,361,372,1803,11.0
1804-05,4,-,-,-,-,-,-,-,-,-,6,-,-,31,4,-,6,-,-,-,55,-,-,26,-,-,-,-,-,21,-,1804-05,14,603,386,403,1804,11.3
1805-06,5,-,-,-,-,-,-,-,-,-,6,-,-,34,5,-,7,-,-,-,65,-,-,36,-,-,-,-,-,21,-,1805-06,16,629,413,416,1805,13.1
1806-07,7,-,-,-,-,-,-,-,-,-,7,-,-,36,5,-,7,-,-,-,72,-,-,40,-,-,-,-,-,23,-,1806-07,12,649,424,438,1806,12.6
