date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1801,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1801,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,21.0,18,PublicFinances1800-2023,,Tax Receipts,,
1801,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Debt Interest9,NMFX,18.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1801,Defence5,,33.0,32,PublicFinances1800-2023,,Government Spending,,
1801,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1801,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1801,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1801,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1801,Income tax1,LIBR-MS62,5.0,5,PublicFinances1800-2023,,Tax Receipts,,
1801,"Index, base year = 100",MM23,15.1,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1801,Land and Assessed Taxes,,5.0,5,PublicFinances1800-2023,,Tax Receipts,,
1801,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1801,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",373.0,393,PublicFinances1800-2023,,Economic Indicators,,
1801,Nominal GDP (£m)3,Nominal GDP (£m)3,399.0,355,PublicFinances1800-2023,,Economic Indicators,,
1801,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1801,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1801,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1801,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023,,PublicFinances - Other,,
