date_period,measure,cdid,value,unit,source_dataset
1801.0,Business rates,CUKY,,-,PublicFinances1800-2023
1801.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1801.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1801.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1801.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1801.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,21.0,18,PublicFinances1800-2023
1801.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1801.0,Debt Interest9,NMFX,18.0,14,PublicFinances1800-2023
1801.0,Defence5,,33.0,32,PublicFinances1800-2023
1801.0,Education8,,,-,PublicFinances1800-2023
1801.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1801.0,Gas Levy3,,,-,PublicFinances1800-2023
1801.0,Health6,,,-,PublicFinances1800-2023
1801.0,Income tax1,LIBR-MS62,5.0,5,PublicFinances1800-2023
1801.0,"Index, base year = 100",MM23,15.1,13.5,PublicFinances1800-2023
1801.0,Land and Assessed Taxes,,5.0,5,PublicFinances1800-2023
1801.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1801.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1801.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1801.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",373.0,393,PublicFinances1800-2023
1801.0,Nominal GDP (£m)3,Nominal GDP (£m)3,399.0,355,PublicFinances1800-2023
1801.0,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023
1801.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1801.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1801.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1801.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1801.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1801.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1801.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",23.0,21,PublicFinances1800-2023
1801.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,548.0,508,PublicFinances1800-2023
1801.0,Social Security7,,,-,PublicFinances1800-2023
1801.0,Stamp duties,GTBC,3.0,3,PublicFinances1800-2023
1801.0,Total Central Government spending1,ANLP + ANNS + NSRN,55.0,50,PublicFinances1800-2023
1801.0,Unit,Source dataset ID,1801.0,1800,PublicFinances1800-2023
1801.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1801.0,Years,Years,,1800-01,PublicFinances1800-2023
1801.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1801.0,o/w pensioners,,,-,PublicFinances1800-2023
1802.0,Business rates,CUKY,,-,PublicFinances1800-2023
1802.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1802.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1802.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1802.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1802.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,24.0,18,PublicFinances1800-2023
1802.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1802.0,Debt Interest9,NMFX,20.0,14,PublicFinances1800-2023
1802.0,Defence5,,34.0,32,PublicFinances1800-2023
1802.0,Education8,,,-,PublicFinances1800-2023
1802.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1802.0,Gas Levy3,,,-,PublicFinances1800-2023
1802.0,Health6,,,-,PublicFinances1800-2023
1802.0,Income tax1,LIBR-MS62,3.0,5,PublicFinances1800-2023
1802.0,"Index, base year = 100",MM23,11.6,13.5,PublicFinances1800-2023
1802.0,Land and Assessed Taxes,,5.0,5,PublicFinances1800-2023
1802.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1802.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1802.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1802.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",357.0,393,PublicFinances1800-2023
1802.0,Nominal GDP (£m)3,Nominal GDP (£m)3,359.0,355,PublicFinances1800-2023
1802.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1802.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1802.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1802.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1802.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1802.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1802.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1802.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",13.0,21,PublicFinances1800-2023
1802.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,564.0,508,PublicFinances1800-2023
1802.0,Social Security7,,,-,PublicFinances1800-2023
1802.0,Stamp duties,GTBC,3.0,3,PublicFinances1800-2023
1802.0,Total Central Government spending1,ANLP + ANNS + NSRN,63.0,50,PublicFinances1800-2023
1802.0,Unit,Source dataset ID,1802.0,1800,PublicFinances1800-2023
1802.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1802.0,Years,Years,,1800-01,PublicFinances1800-2023
1802.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1802.0,o/w pensioners,,,-,PublicFinances1800-2023
1803.0,Business rates,CUKY,,-,PublicFinances1800-2023
1803.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1803.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1803.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1803.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1803.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,28.0,18,PublicFinances1800-2023
1803.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1803.0,Debt Interest9,NMFX,20.0,14,PublicFinances1800-2023
1803.0,Defence5,,25.0,32,PublicFinances1800-2023
1803.0,Education8,,,-,PublicFinances1800-2023
1803.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1803.0,Gas Levy3,,,-,PublicFinances1800-2023
1803.0,Health6,,,-,PublicFinances1800-2023
1803.0,Income tax1,LIBR-MS62,1.0,5,PublicFinances1800-2023
1803.0,"Index, base year = 100",MM23,11.0,13.5,PublicFinances1800-2023
1803.0,Land and Assessed Taxes,,6.0,5,PublicFinances1800-2023
1803.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1803.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1803.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1803.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",372.0,393,PublicFinances1800-2023
1803.0,Nominal GDP (£m)3,Nominal GDP (£m)3,361.0,355,PublicFinances1800-2023
1803.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1803.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1803.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1803.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1803.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1803.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1803.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1803.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",11.0,21,PublicFinances1800-2023
1803.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,579.0,508,PublicFinances1800-2023
1803.0,Social Security7,,,-,PublicFinances1800-2023
1803.0,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023
1803.0,Total Central Government spending1,ANLP + ANNS + NSRN,54.0,50,PublicFinances1800-2023
1803.0,Unit,Source dataset ID,1803.0,1800,PublicFinances1800-2023
1803.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1803.0,Years,Years,,1800-01,PublicFinances1800-2023
1803.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1803.0,o/w pensioners,,,-,PublicFinances1800-2023
1804.0,Business rates,CUKY,,-,PublicFinances1800-2023
1804.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1804.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1804.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1804.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1804.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,31.0,18,PublicFinances1800-2023
1804.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1804.0,Debt Interest9,NMFX,21.0,14,PublicFinances1800-2023
1804.0,Defence5,,26.0,32,PublicFinances1800-2023
1804.0,Education8,,,-,PublicFinances1800-2023
1804.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1804.0,Gas Levy3,,,-,PublicFinances1800-2023
1804.0,Health6,,,-,PublicFinances1800-2023
1804.0,Income tax1,LIBR-MS62,4.0,5,PublicFinances1800-2023
1804.0,"Index, base year = 100",MM23,11.3,13.5,PublicFinances1800-2023
1804.0,Land and Assessed Taxes,,6.0,5,PublicFinances1800-2023
1804.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1804.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1804.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1804.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",403.0,393,PublicFinances1800-2023
1804.0,Nominal GDP (£m)3,Nominal GDP (£m)3,386.0,355,PublicFinances1800-2023
1804.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1804.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1804.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1804.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1804.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1804.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1804.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1804.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",14.0,21,PublicFinances1800-2023
1804.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,603.0,508,PublicFinances1800-2023
1804.0,Social Security7,,,-,PublicFinances1800-2023
1804.0,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023
1804.0,Total Central Government spending1,ANLP + ANNS + NSRN,55.0,50,PublicFinances1800-2023
1804.0,Unit,Source dataset ID,1804.0,1800,PublicFinances1800-2023
1804.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1804.0,Years,Years,,1800-01,PublicFinances1800-2023
1804.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1804.0,o/w pensioners,,,-,PublicFinances1800-2023
1805.0,Business rates,CUKY,,-,PublicFinances1800-2023
1805.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1805.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1805.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1805.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1805.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,34.0,18,PublicFinances1800-2023
1805.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1805.0,Debt Interest9,NMFX,21.0,14,PublicFinances1800-2023
1805.0,Defence5,,36.0,32,PublicFinances1800-2023
1805.0,Education8,,,-,PublicFinances1800-2023
1805.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1805.0,Gas Levy3,,,-,PublicFinances1800-2023
1805.0,Health6,,,-,PublicFinances1800-2023
1805.0,Income tax1,LIBR-MS62,5.0,5,PublicFinances1800-2023
1805.0,"Index, base year = 100",MM23,13.1,13.5,PublicFinances1800-2023
1805.0,Land and Assessed Taxes,,6.0,5,PublicFinances1800-2023
1805.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1805.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1805.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1805.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",416.0,393,PublicFinances1800-2023
1805.0,Nominal GDP (£m)3,Nominal GDP (£m)3,413.0,355,PublicFinances1800-2023
1805.0,Other Central Government Receipts6,Residual,7.0,3,PublicFinances1800-2023
1805.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1805.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1805.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1805.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1805.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1805.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1805.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",16.0,21,PublicFinances1800-2023
1805.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,629.0,508,PublicFinances1800-2023
1805.0,Social Security7,,,-,PublicFinances1800-2023
1805.0,Stamp duties,GTBC,5.0,3,PublicFinances1800-2023
1805.0,Total Central Government spending1,ANLP + ANNS + NSRN,65.0,50,PublicFinances1800-2023
1805.0,Unit,Source dataset ID,1805.0,1800,PublicFinances1800-2023
1805.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1805.0,Years,Years,,1800-01,PublicFinances1800-2023
1805.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1805.0,o/w pensioners,,,-,PublicFinances1800-2023
1806.0,Business rates,CUKY,,-,PublicFinances1800-2023
1806.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1806.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1806.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1806.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1806.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,36.0,18,PublicFinances1800-2023
1806.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1806.0,Debt Interest9,NMFX,23.0,14,PublicFinances1800-2023
1806.0,Defence5,,40.0,32,PublicFinances1800-2023
1806.0,Education8,,,-,PublicFinances1800-2023
1806.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1806.0,Gas Levy3,,,-,PublicFinances1800-2023
1806.0,Health6,,,-,PublicFinances1800-2023
1806.0,Income tax1,LIBR-MS62,7.0,5,PublicFinances1800-2023
1806.0,"Index, base year = 100",MM23,12.6,13.5,PublicFinances1800-2023
1806.0,Land and Assessed Taxes,,7.0,5,PublicFinances1800-2023
1806.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1806.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1806.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1806.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",438.0,393,PublicFinances1800-2023
1806.0,Nominal GDP (£m)3,Nominal GDP (£m)3,424.0,355,PublicFinances1800-2023
1806.0,Other Central Government Receipts6,Residual,7.0,3,PublicFinances1800-2023
1806.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1806.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1806.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1806.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1806.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1806.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1806.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",12.0,21,PublicFinances1800-2023
1806.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,649.0,508,PublicFinances1800-2023
1806.0,Social Security7,,,-,PublicFinances1800-2023
1806.0,Stamp duties,GTBC,5.0,3,PublicFinances1800-2023
1806.0,Total Central Government spending1,ANLP + ANNS + NSRN,72.0,50,PublicFinances1800-2023
1806.0,Unit,Source dataset ID,1806.0,1800,PublicFinances1800-2023
1806.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1806.0,Years,Years,,1800-01,PublicFinances1800-2023
1806.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1806.0,o/w pensioners,,,-,PublicFinances1800-2023
1807.0,Business rates,CUKY,,-,PublicFinances1800-2023
1807.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1807.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1807.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1807.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1807.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,40.0,18,PublicFinances1800-2023
1807.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1807.0,Debt Interest9,NMFX,23.0,14,PublicFinances1800-2023
1807.0,Defence5,,41.0,32,PublicFinances1800-2023
1807.0,Education8,,,-,PublicFinances1800-2023
1807.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1807.0,Gas Levy3,,,-,PublicFinances1800-2023
1807.0,Health6,,,-,PublicFinances1800-2023
1807.0,Income tax1,LIBR-MS62,11.0,5,PublicFinances1800-2023
1807.0,"Index, base year = 100",MM23,12.3,13.5,PublicFinances1800-2023
1807.0,Land and Assessed Taxes,,7.0,5,PublicFinances1800-2023
1807.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1807.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1807.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1807.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",438.0,393,PublicFinances1800-2023
1807.0,Nominal GDP (£m)3,Nominal GDP (£m)3,443.0,355,PublicFinances1800-2023
1807.0,Other Central Government Receipts6,Residual,3.0,3,PublicFinances1800-2023
1807.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1807.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1807.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1807.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1807.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1807.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1807.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",9.0,21,PublicFinances1800-2023
1807.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,662.0,508,PublicFinances1800-2023
1807.0,Social Security7,,,-,PublicFinances1800-2023
1807.0,Stamp duties,GTBC,5.0,3,PublicFinances1800-2023
1807.0,Total Central Government spending1,ANLP + ANNS + NSRN,73.0,50,PublicFinances1800-2023
1807.0,Unit,Source dataset ID,1807.0,1800,PublicFinances1800-2023
1807.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1807.0,Years,Years,,1800-01,PublicFinances1800-2023
1807.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1807.0,o/w pensioners,,,-,PublicFinances1800-2023
1808.0,Business rates,CUKY,,-,PublicFinances1800-2023
1808.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1808.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1808.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1808.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1808.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,40.0,18,PublicFinances1800-2023
1808.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1808.0,Debt Interest9,NMFX,24.0,14,PublicFinances1800-2023
1808.0,Defence5,,42.0,32,PublicFinances1800-2023
1808.0,Education8,,,-,PublicFinances1800-2023
1808.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1808.0,Gas Levy3,,,-,PublicFinances1800-2023
1808.0,Health6,,,-,PublicFinances1800-2023
1808.0,Income tax1,LIBR-MS62,12.0,5,PublicFinances1800-2023
1808.0,"Index, base year = 100",MM23,12.8,13.5,PublicFinances1800-2023
1808.0,Land and Assessed Taxes,,8.0,5,PublicFinances1800-2023
1808.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1808.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1808.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1808.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",465.0,393,PublicFinances1800-2023
1808.0,Nominal GDP (£m)3,Nominal GDP (£m)3,446.0,355,PublicFinances1800-2023
1808.0,Other Central Government Receipts6,Residual,3.0,3,PublicFinances1800-2023
1808.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1808.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
