date_period,measure,cdid,value,unit,pre_unit
1938,"""Public Sector: Asset: Insurance, Pension and Standardised Guarantee Schemes: (AF.6 ): £m: CP: NSA""",J8DR,,,
1938,"""Public Sector: Liability: Insurance, Pension and Standardised Guarantee Schemes: (AF.6 ): £m: CP: NSA""",J8NT,,,
1938,APF: Corporate Bond purchases: Level of purchases £m,CWPL,,,
1938,APF: Corporate Bond purchases: Market value: Level of purchases at market price: £m,CWPN,,,
1938,Assets associated with Public-Private Partnerships: £m: CP: NSA,JE4R,,,
1938,Bank of England (inc. APF): Net Worth: (B.90): £m: CP: NSA,JFXV,,,
1938,Bank of England (incl APF): Gross debt: £m CP NSA,JMC3,,,
1938,Bank of England: Level: Liquid assets: £m CP NSA,JMER,,,
1938,BoE Expenditure: BoE Total Managed Expenditure (NAcons PSAT2): NSA CP,A7QL,,,
1938,BoE: AF.2: Level: Liability: Currency and deposits: £m CP NSA,JKG5,,,
1938,BoE: APF gilt holdings: impact on net debt: £m: CPNSA,KI2L,,,
1938,BoE: Accounts receivable/payable: £m CPNSA,JXJ4,,m,£
1938,BoE: Adjustment for interest on gilts: £m CPNSA,MU77,,m,£
1938,BoE: Asset Purchase Facility gilt holdings (at nominal value): £m CPNSA,MEX2,,m,£
1938,BoE: Asset Purchase Facility: Central bank loan to APF: BoE code RPWZ4TM: £m CPNSA,JQ2I,,,
1938,BoE: Asset Purchase Facility: Interest payable: £m CPNSA,MDD7,,m,£
1938,BoE: Asset Purchase Facility: Interest receivable: £m CPNSA,MDD6,,m,£
1938,BoE: Asset Purchase Facility: Net interest receivable: £m CPNSA,MDD8,,m,£
1938,BoE: Asset Purchase Facility: Total Asset purchases: BoE code YWWB9R9: £m CPNSA,FZIQ,,m,£
1938,BoE: Asset Purchase Facility: Total cash held within the APF: £m CPNSA,FZJ4,,m,£
1938,BoE: Asset Purchase Facility: Total cash transfers to HMT: £m CPNSA,MT6A,,m,£
1938,BoE: Asset Purchase Facility: Total gilt purchases: £m CPNSA,FZIU,,m,£
1938,BoE: Assets: Level: L-t debt securities issued by UK central government: F.32N1A: Face value: £m: CP NSA,FZEU,,m,£
1938,BoE: Banking & Issue department: AF.4: Level: Asset: APF Loan: £m CP NSA,FZKV,,,
1938,BoE: Banking & Issue department: Liabilities not recognised in PSND: £m CPNSA,FZIY,,m,£
1938,BoE: Banking & Issue department: Liquid assets: £m CPNSA,JKF4,,m,£
1938,BoE: Banking & Issue department: Total Liabilities: £m CPNSA,FZIW,,m,£
1938,BoE: Capital grants (net) within public sector: £m CPNSA,FV4U,,,
1938,BoE: Capital grants from private sector and RoW: £m CPNSA,FV4V,,,
1938,BoE: Cross holdings with CG: AF.32N11: British government securities: face value: £m CP NSA,JK7N,,,
1938,BoE: Cross holdings with CG: AF.424: Other long-term loans: £m CP NSA,JK7O,,m,£
1938,BoE: Current Expenditure: Subsidies: £million: CPNSA,JSI9,,,
1938,BoE: Current Receipts: Taxes on income and wealth: £m CPNSA,JW27,,m,£
1938,BoE: Current budget deficit (B.6n): £m CPNSA,JW2D,,m,£
1938,BoE: Current exp: Interest & dividends paid to private sector and RoW: £m CPNSA,MU74,,m,£
1938,BoE: Current expenditure on goods and services (D.1 + P.2): £m CPNSA,FV4T,,,
1938,BoE: Depreciation: Consumption of fixed capital: £m CPNSA,JW2C,,m,£
1938,BoE: Gross Operating Surplus: £m CPNSA,JW28,,m,£
1938,BoE: Gross fixed capital formation: £m CPNSA,JW2E,,m,£
1938,BoE: Interest & dividends (net) from public sector: £m CPNSA,MU73,,m,£
1938,BoE: Interest & divs from private sector and rest of world (D41/42): £m CPNSA,JW29,,m,£
1938,BoE: Level: AF.4: BoE/GG cross holdings: £m CP NSA,JL37,,,
1938,BoE: Level: Liability: Other debt liabilities: £m CP NSA,JMEN,,,
1938,BoE: Net Borrowing (inc APF & SLS): £m CPNSA,JW2H,,m,£
1938,BoE: Net Cash Requirement: £m CPNSA,JW2I,,m,£
1938,BoE: Net Financial Liabilities: NSA:£m,CPPL,,,
1938,BoE: Net Lending to Private Sector & RoW: £m CPNSA,FV5O,,,
1938,BoE: Net acquisition of company securities: £m CPNSA,MU76,,m,£
1938,BoE: Other financial transactions: £m CPNSA,MU78,,m,£
1938,"BoE: Saving, gross plus capital taxes: £m CPNSA",JW2B,,m,£
1938,BoE: Term Funding Scheme (TFS) Small & Medium-sized Enterprises Loan Liability: £m CPNSA,FSVQ,,m,£
1938,BoE: Term Funding Scheme Loan Liability: £m CPNSA,CORN,,m,£
1938,BoE: Total current expenditure: £m CPNSA,MU75,,m,£
1938,BoE: Total current receipts: £m CPNSA,JW2A,,m,£
1938,BoE: Total net investment: £m CPNSA,JW2G,,m,£
1938,CG Cash receipts: HM Revenue and Customs,MIZX,,m,£
1938,CG: AS: F424N1 K.7 Nominal holding gains/losses: Student Loan Stock Revaluations,CT9G,,,
1938,CG: Accounts receivable/payable (F7): £m CPNSA,ANRT,,,
1938,CG: Adjustment for interest on gilts (F.3): £m CPNSA,ANRU,,,
1938,CG: British government stock (gilts): £m CPNSA,BKPM,,m,£
1938,CG: Capital grants (net) within public sector (D92&D99): £m CPNSA,ANND,,m,£
1938,CG: Capital transfers from CG: £m CPNSA,MS6X,,m,£
1938,CG: Capital transfers from LG: £m CPNSA,NMGL,,m,£
1938,CG: Capital transfers from PC: £m CPNSA,MM9G,,m,£
1938,CG: Capital transfers from private sector (D92&D99): £m CPNSA,ANNN,,m,£
1938,CG: Capital transfers to Asset Purchase Facility (APF): £m CPNSA,MF7A,,m,£
1938,CG: Capital transfers to LG: £m CPNSA,MF78,,m,£
1938,CG: Capital transfers to PC: £m CPNSA,MF79,,m,£
1938,CG: Capital transfers to central government: £m CPNSA,MFO7,,m,£
1938,CG: Capital transfers to private sector (D92&D99): £m CPNSA,ANNI,,m,£
1938,CG: Capital uplift on index linked gilts excluding uplift paid at redemption: £m CPNSA,JNYY,,,
1938,"CG: Changes in net debt (exc NRAM and B&B, Network Rail): £m CPNSA",MW4W,,,
1938,CG: Corporation Tax (gross of tax credits): £m: NSA,N445,,m,£
1938,CG: Covid Corp Finance Facility: Commercial Paper: £m: NSA,FSX6,,,
1938,CG: Current Budget Deficit: £m CPNSA,ANLV,,m,£
1938,CG: Current Receipts: Taxes receivable: £m CPNSA,MF6P,,m,£
1938,CG: Current expenditure (exc debt interest payments): £m CPNSA,KSS6,,,
1938,CG: Current expenditure: Current transfers paid abroad (D74): £m CPNSA,NMDZ,,m,£
1938,CG: Current expenditure: Current transfers received from abroad (D74): £m CPNSA,NMDL,,£,m
1938,CG: Current expenditure: Goods and services: Staff costs (D1): £m CPNSA,NMBG,,,
1938,CG: Current expenditure: Market output and output for own final use: £m: NSA,MUT5,,m,£
1938,CG: Current expenditure: Net Interest payable: £m CPNSA,NMFX,,m,£
1938,CG: Current expenditure: Net current grants aborad (D74): £m CPNSA,GZSI,,m,£
1938,CG: Current expenditure: Net social benefits payable: £m CPNSA,GZSJ,,m,£
1938,CG: Current expenditure: Other current grants: £m CPNSA,NMFC,,m,£
1938,CG: Current expenditure: Other payable: £m: CPNSA,LIQS,,m,£
1938,CG: Current expenditure: Subsidies: £m CPNSA,NMCD,,m,£
1938,CG: Current expenditure: UK contributions to EU (D.76u) VAT & GNI: £m CPNSA,M9LH,,m,£
1938,CG: Current expenditure: UK payments to EU under the withdrawal agreement (D.74) : £m CPNSA,FV5N,,m,£
1938,CG: Current expenditure:Current expenditure on goods and services (P3): £m CPNSA,NMBJ,,m,£
1938,CG: Current expenditure:Goods/services:Purchase of goods and services: £m CPNSA,MF76,,m,£
1938,CG: Current expenditure:Net social benefits: Social assistance (D623): £m CPNSA,NZGO,,m,£
1938,CG: Current grants to central government: £m CPNSA,MHA8,,m,£
1938,CG: Current receipts: Compulsory social contributions: Receivable: £m CPNSA,AIIH,,m,£
1938,CG: Current receipts: Interest and dividends receivable: £m CPNSA,LIQP,,m,£
1938,"CG: Current receipts: Interest and dividends: APF, receivable: £m CPNSA",L6BD,,m,£
1938,CG: Current receipts: Interest and dividends: Other: £m CPNSA,MF74,,m,£
1938,CG: Current receipts: Other current taxes (D.59): £m CPNSA,NMCV,,m,£
1938,CG: Current receipts: Other income receivable: £m CPNSA,LIQQ,,m,£
1938,CG: Current receipts: Other receipts: Other (residual): £m CPNSA,MF75,,m,£
1938,CG: Current receipts: Other receipts: Rent received (D45): £m CPNSA,NMCK,,m,£
1938,CG: Current receipts: Other taxes on income and wealth: £m CPNSA,MF6Z,,m,£
1938,CG: Current receipts: Other taxes: Bank levy: £m CPNSA,KIH3,,,
1938,CG: Current receipts: Other taxes: Other (residual): £m CPNSA,MF72,,m,£
1938,CG: Current receipts: Other taxes: Vehicle duty paid by households: £m CPNSA,CDDZ,,m,£
1938,CG: Current receipts: Rent and other current transfers: £m CPNSA,ANBU,,m,£
1938,CG: Current receipts: Taxes on capital: £m CPNSA,HZS7,,m,£
1938,"CG: Current receipts: Taxes on income and wealth, receivable: £m",NMCU,,m,£
1938,CG: Current receipts: Taxes on income: Capital gains and legacy tax: £m CPNSA,MS62,,m,£
1938,CG: Current receipts: Taxes on income: Other (mainly corporation tax): £m CPNSA,LIBP,,m,£
1938,CG: Current receipts: Taxes on income: Other income tax: £m CPNSA,MF6X,,m,£
1938,CG: Current receipts: Taxes on income: PAYE income tax: £m CPNSA,MS6W,,m,£
1938,CG: Current receipts: Taxes on income: Petroleum revenue tax: £m CPNSA,ACCJ,,m,£
1938,CG: Current receipts: Taxes on income: Self assessed income tax: £m CPNSA,LISB,,m,£
1938,"CG: Current receipts: Taxes on production, receivable: £m CPNSA",NMBY,,m,£
1938,CG: Current receipts: Taxes on production: Alcohol: £m CPNSA,MF6V,,m,£
1938,CG: Current receipts: Taxes on production: Business rates (NNDR): £m CPNSA,CUKY,,m,£
1938,CG: Current receipts: Taxes on production: Fuel duty: £m CPNSA,CUDG,,m,£
1938,CG: Current receipts: Taxes on production: Other: £m CPNSA,MF6W,,m,£
1938,CG: Current receipts: Taxes on production: Stamp duty (shares) HMRC : £m CPNSA,BKST,,m,£
1938,CG: Current receipts: Taxes on production: Tobacco: £m CPNSA,GTAO,,£,m
1938,"CG: Current receipts: Taxes on production: VAT, receivable: £m CPNSA",NZGF,,m,£
1938,CG: Current receipts: Taxes on production: Vehicle duty paid by businesses: £m,EKED,,m,£
1938,CG: Current receipts: Total taxes: £m CPNSA,MF73,,m,£
1938,CG: Current receipts:Other taxes (not on production/income) receivable: £m CPNSA,LIQR,,m,£
1938,CG: Current receipts:Taxes on income: Income tax and capital gains tax: £m CPNSA,LIBR,,m,£
1938,CG: Current receipts:Taxes on production:Stamp duty (land and property):£m CPNSA,MM9F,,m,£
1938,CG: Current transfers from central government to local government: £m CPNSA,QYJR,,m,£
1938,CG: D.2121: Customs Duties (UK Receipts): Accrued Receipts: £M: CPNSA,FV2H,,m,£
1938,CG: D39: CV19 HMRC Job Retention Scheme: Accrued: £m: NSA,CXLP,,m,£
1938,CG: D39: CV19 HMRC Self-Employment Income Support Scheme: Accrued: £m: NSA,CXLQ,,m,£
1938,CG: Energy Profits Levy: Accrued basis: CPNSA £m,JIS6,,m,£
1938,CG: Gross Index-linked gilt capital uplift: £m CPNSA,MW7L,,,
1938,CG: Gross capital formation: £m CPNSA,MS5Z,,m,£
1938,CG: Gross fixed capital formation (P51+K2): £m CPNSA,ANPI,,m,£
1938,CG: Gross operating surplus: £m CPNSA,NRLN,,m,£
1938,CG: Income tax and compulsory social contributions (NICs): £m CPNSA,KSS8,,,
1938,CG: Increase in inventories and valuables (P52&P52): £m CPNSA,ANMY,,m,£
1938,CG: Interest & dividends (net) from public sector: £m CPNSA,ANNY,,m,£
1938,CG: Interest & dividends from private sector and rest of world (D41/42):£m CPNSA,GVHE,,m,£
1938,CG: Interest payable excluding capital uplift on index linked gilts: £m CPNSA,JNYX,,,
1938,CG: NRAM and B&B (element of CG Gross Debt): £m CPNSA,KW6R,,m,£
1938,CG: National savings: £m CPNSA,ACUA,,m,£
1938,CG: Net Financial Liabilities: NSA:£m,CPNE,,,
1938,CG: Net acquisition of company securities (F.5): £m CPNSA,ANRS,,,
1938,CG: Net cash requirement (NRAM and B&B contribution (UKAR)): £m CPNSA,M98W,,m,£
1938,CG: Net cash requirement (Network rail contribution): £m CPNSA,MUI2,,,
1938,CG: Net cash requirement (Own account): £m CPNSA,RUUX,,m,£
1938,"CG: Net cash requirement (exc NRAM and B&B, Network Rail): £m CPNSA",M98R,,m,£
1938,"CG: Net cash requirement (own account) (exc NRAM and B&B, Network Rail):£m CPNSA",M98S,,m,£
1938,CG: Net cash requirement (own account): Cash receipts: Income tax: £m CPNSA,RURC,,m,£
1938,CG: Net cash requirement: Cash outlays: Interest payments: £m CPNSA,RUUO,,m,£
1938,CG: Net cash requirement: Cash outlays: Net departmental outlays: £m CPNSA,RUUP,,m,£
1938,CG: Net cash requirement: Cash outlays: Total: £m CPNSA,RUUQ,,m,£
1938,CG: Net cash requirement: Cash receipts: HMRC: Social security contributions: £m,ABLP,,m,£
1938,CG: Net cash requirement: Cash receipts: HMRC: VAT: £m CPNSA,EYOO,,m,£
1938,CG: Net cash requirement: Cash receipts: Interest and dividends: £m CPNSA,RUUL,,m,£
1938,CG: Net cash requirement: Cash receipts: Other receipts: £m CPNSA,RUUM,,m,£
1938,CG: Net cash requirement: Cash receipts: Total: £m CPNSA,RUUN,,m,£
1938,CG: Net cash requirement: Net acquisition of company securities: £m NSA,ABIF,,m,£
1938,CG: Net cash requirement: £m CPNSA,RUUW,,m,£
1938,CG: Net lending to private sector and rest of world (F.4): £m CPNSA,ANRH,,,
1938,CG: Net social benefits: National insurance fund benefits (D621): £m CPNSA,QYRJ,,,
1938,CG: Net social benefits:Public service pension contributions: £m CPNSA,MF6Q,,m,£
1938,CG: Net social benefits:Public service pension payments: £m CPNSA,MF77,,m,£
1938,CG: Network Rail (element of CG Gross Debt): £m CPNSA,MDL3,,m,£
1938,CG: Other cash receipts paid over to HMT from HMRC: £m: CPNSA,KAU8,,,
1938,CG: Other financial transactions: £m CPNSA,ANRV,,,
1938,CG: Other sterling debt and foreign currency debt: £m CPNSA,KW6Q,,m,£
1938,CG: Receipts table: VAT refunds: £m: NSA,AHGO,,,
1938,CG: Receipts: Corporation tax: Accrued: Gross of tax credits: £m:NSA,CPRN,,m,£
1938,CG: Reconciliation adjustments: Debt management account: £m CPNSA,N42E,,,
1938,CG: Reconciliation adjustments: Foreign currency: £m CPNSA,N42F,,,
1938,CG: Reconciliation adjustments: National savings: £m CPNSA,N42C,,,
1938,CG: Reconciliation adjustments: Official reserves SDRs: £m CPNSA,E3VX,,,
1938,CG: Reconciliation adjustments: Official reserves: £m CPNSA,N42A,,,
1938,CG: Reconciliation adjustments: Other gilt related adjustments: £m CPNSA,E3VL,,,
1938,CG: Reconciliation adjustments: Other liquid assets: £m CPNSA,E3VZ,,,
1938,CG: Reconciliation adjustments: Other sterling debt: £m CPNSA,E3VY,,,
1938,CG: Reconciliation adjustments: Other: £m CPNSA,N42H,,,
1938,CG: Reconciliation adjustments: Reclassification & imputed liabilities: £m CPNSA,E3VM,,,
1938,"CG: Savings, gross plus capital taxes: £m CPNSA",ANPM,,m,£
1938,CG: Sterling treasury bills: £m CPNSA,BKPJ,,m,£
1938,CG: Tax instruments: £m CPNSA,ACRV,,m,£
1938,CG: Total Net Investment: £m CPNSA,ANNS,,m,£
1938,CG: Total capital expenditure: £m CPNSA,MF6T,,m,£
1938,CG: Total central government gross debt: £m CPNSA,BKPW,,m,£
1938,"CG: Total current expenditure, payable: £m CPNSA",ANLP,,m,£
1938,CG: Total current expenditure: £m CPNSA,MF6S,,m,£
1938,"CG: Total current receipts, receivable: £m CPNSA",ANBV,,m,£
1938,CG: Total expenditure: £m CPNSA,MF6U,,m,£
1938,CG: Total expenditure: £mn: NSA,DU3N,,m,£
1938,CG: Total revenue: £m CPNSA,MF6R,,m,£
1938,Central Government: Net Worth: (B.90): £m: CP: NSA,J8RS,,,
1938,Central Government:LI:LEVEL:Currency and deposits: CP NSA,NIIJ,,,
1938,Central Government:LI:LEVEL:Debt securities (excl gilts) and loans: £m CP NSA,JM9S,,,
1938,Central Government:LI:LEVEL:Debt securities excluding gilts: CP NSA,JJ7G,,,
1938,Central Government:LI:LEVEL:Loans: CP NSA,NIJU,,,
1938,Central government (S.1311): Net Lending (+) / Net borrowing (-) (B.9N): CP £m: NSA,NMFJ,,m,£
1938,Central government finance: official reserves: Asset Flow: CP NSA: £m,AIPA,,,
1938,Consumption of fixed capital for public corporations,NSRM,,,
1938,ESA95:DIM PC F.33211 accr adj,NCXS,,,
1938,ESA95:DIM: LA F.33211 accr adj,NCBV,,,
1938,"ESA: CG: LI: FLOW: F.33111, Sterling treasury bills",NAVG,,,
1938,FA: CG: Liabs: Flows: Government foreign currency debt,AACL,,,
