year,cause,cause_description,sex,age,deaths
1901,10.0,Small pox - vaccinated,Female,01-04,1
1901,10.0,Small pox - vaccinated,Female,10-14,1
1901,10.0,Small pox - vaccinated,Female,15-19,1
1901,10.0,Small pox - vaccinated,Female,20-24,6
1901,10.0,Small pox - vaccinated,Female,<1,7
1901,10.0,Small pox - vaccinated,Female,T25-34,17
1901,10.0,Small pox - vaccinated,Female,T35-44,18
1901,10.0,Small pox - vaccinated,Female,T45-54,8
1901,10.0,Small pox - vaccinated,Female,T55-64,4
1901,10.0,Small pox - vaccinated,Male,01-04,1
1901,10.0,Small pox - vaccinated,Male,10-14,1
1901,10.0,Small pox - vaccinated,Male,15-19,5
1901,10.0,Small pox - vaccinated,Male,20-24,9
1901,10.0,Small pox - vaccinated,Male,<1,2
1901,10.0,Small pox - vaccinated,Male,T25-34,18
1901,10.0,Small pox - vaccinated,Male,T35-44,28
1901,10.0,Small pox - vaccinated,Male,T45-54,11
1901,10.0,Small pox - vaccinated,Male,T55-64,1
1901,10.0,Small pox - vaccinated,Male,T65-74,2
1901,100.0,Plague,Female,05-09,1
1901,100.0,Plague,Male,10-14,2
1901,100.0,Plague,Male,20-24,2
1901,100.0,Plague,Male,T25-34,5
1901,100.0,Plague,Male,T35-44,1
1901,1000.0,Pericarditis,Female,01-04,18
1901,1000.0,Pericarditis,Female,05-09,43
1901,1000.0,Pericarditis,Female,10-14,33
1901,1000.0,Pericarditis,Female,15-19,18
1901,1000.0,Pericarditis,Female,20-24,19
1901,1000.0,Pericarditis,Female,85+,1
1901,1000.0,Pericarditis,Female,<1,9
1901,1000.0,Pericarditis,Female,T25-34,31
1901,1000.0,Pericarditis,Female,T35-44,34
1901,1000.0,Pericarditis,Female,T45-54,28
1901,1000.0,Pericarditis,Female,T55-64,24
1901,1000.0,Pericarditis,Female,T65-74,32
1901,1000.0,Pericarditis,Female,T75-84,9
1901,1000.0,Pericarditis,Male,01-04,26
1901,1000.0,Pericarditis,Male,05-09,26
1901,1000.0,Pericarditis,Male,10-14,31
1901,1000.0,Pericarditis,Male,15-19,32
1901,1000.0,Pericarditis,Male,20-24,23
1901,1000.0,Pericarditis,Male,<1,11
1901,1000.0,Pericarditis,Male,T25-34,34
1901,1000.0,Pericarditis,Male,T35-44,49
1901,1000.0,Pericarditis,Male,T45-54,42
1901,1000.0,Pericarditis,Male,T55-64,40
1901,1000.0,Pericarditis,Male,T65-74,14
1901,1000.0,Pericarditis,Male,T75-84,9
1901,1010.0,Angina pectoris,Female,10-14,3
1901,1010.0,Angina pectoris,Female,15-19,2
1901,1010.0,Angina pectoris,Female,20-24,1
1901,1010.0,Angina pectoris,Female,85+,2
1901,1010.0,Angina pectoris,Female,T25-34,2
1901,1010.0,Angina pectoris,Female,T35-44,12
1901,1010.0,Angina pectoris,Female,T45-54,29
1901,1010.0,Angina pectoris,Female,T55-64,60
1901,1010.0,Angina pectoris,Female,T65-74,80
1901,1010.0,Angina pectoris,Female,T75-84,34
1901,1010.0,Angina pectoris,Male,85+,6
1901,1010.0,Angina pectoris,Male,T25-34,13
1901,1010.0,Angina pectoris,Male,T35-44,40
1901,1010.0,Angina pectoris,Male,T45-54,85
1901,1010.0,Angina pectoris,Male,T55-64,107
1901,1010.0,Angina pectoris,Male,T65-74,133
1901,1010.0,Angina pectoris,Male,T75-84,66
1901,1020.0,Fatty degeneration of heart,Female,01-04,1
1901,1020.0,Fatty degeneration of heart,Female,15-19,1
1901,1020.0,Fatty degeneration of heart,Female,20-24,4
1901,1020.0,Fatty degeneration of heart,Female,85+,10
1901,1020.0,Fatty degeneration of heart,Female,T25-34,21
1901,1020.0,Fatty degeneration of heart,Female,T35-44,86
1901,1020.0,Fatty degeneration of heart,Female,T45-54,183
1901,1020.0,Fatty degeneration of heart,Female,T55-64,303
1901,1020.0,Fatty degeneration of heart,Female,T65-74,326
1901,1020.0,Fatty degeneration of heart,Female,T75-84,133
1901,1020.0,Fatty degeneration of heart,Male,15-19,2
1901,1020.0,Fatty degeneration of heart,Male,20-24,2
1901,1020.0,Fatty degeneration of heart,Male,85+,7
1901,1020.0,Fatty degeneration of heart,Male,<1,1
1901,1020.0,Fatty degeneration of heart,Male,T25-34,25
1901,1020.0,Fatty degeneration of heart,Male,T35-44,60
1901,1020.0,Fatty degeneration of heart,Male,T45-54,142
1901,1020.0,Fatty degeneration of heart,Male,T55-64,245
1901,1020.0,Fatty degeneration of heart,Male,T65-74,288
1901,1020.0,Fatty degeneration of heart,Male,T75-84,102
1901,1030.0,Hypertrophy of heart,Female,20-24,3
1901,1030.0,Hypertrophy of heart,Female,85+,1
1901,1030.0,Hypertrophy of heart,Female,T25-34,3
1901,1030.0,Hypertrophy of heart,Female,T35-44,5
1901,1030.0,Hypertrophy of heart,Female,T45-54,7
1901,1030.0,Hypertrophy of heart,Female,T55-64,25
1901,1030.0,Hypertrophy of heart,Female,T65-74,30
1901,1030.0,Hypertrophy of heart,Female,T75-84,15
1901,1030.0,Hypertrophy of heart,Male,05-09,2
1901,1030.0,Hypertrophy of heart,Male,10-14,1
1901,1030.0,Hypertrophy of heart,Male,15-19,2
1901,1030.0,Hypertrophy of heart,Male,20-24,2
1901,1030.0,Hypertrophy of heart,Male,85+,1
1901,1030.0,Hypertrophy of heart,Male,T25-34,5
1901,1030.0,Hypertrophy of heart,Male,T35-44,3
1901,1030.0,Hypertrophy of heart,Male,T45-54,16
1901,1030.0,Hypertrophy of heart,Male,T55-64,39
1901,1030.0,Hypertrophy of heart,Male,T65-74,32
1901,1030.0,Hypertrophy of heart,Male,T75-84,18
1901,1040.0,Dilation of heart,Female,01-04,5
1901,1040.0,Dilation of heart,Female,05-09,5
1901,1040.0,Dilation of heart,Female,10-14,4
1901,1040.0,Dilation of heart,Female,15-19,10
1901,1040.0,Dilation of heart,Female,20-24,10
1901,1040.0,Dilation of heart,Female,85+,29
1901,1040.0,Dilation of heart,Female,T25-34,26
1901,1040.0,Dilation of heart,Female,T35-44,72
1901,1040.0,Dilation of heart,Female,T45-54,117
1901,1040.0,Dilation of heart,Female,T55-64,308
1901,1040.0,Dilation of heart,Female,T65-74,392
1901,1040.0,Dilation of heart,Female,T75-84,194
1901,1040.0,Dilation of heart,Male,01-04,4
1901,1040.0,Dilation of heart,Male,05-09,3
1901,1040.0,Dilation of heart,Male,10-14,5
1901,1040.0,Dilation of heart,Male,15-19,3
1901,1040.0,Dilation of heart,Male,20-24,8
1901,1040.0,Dilation of heart,Male,85+,12
1901,1040.0,Dilation of heart,Male,<1,1
1901,1040.0,Dilation of heart,Male,T25-34,29
1901,1040.0,Dilation of heart,Male,T35-44,80
1901,1040.0,Dilation of heart,Male,T45-54,125
1901,1040.0,Dilation of heart,Male,T55-64,274
1901,1040.0,Dilation of heart,Male,T65-74,340
1901,1040.0,Dilation of heart,Male,T75-84,143
1901,1050.0,"Syncope, heart disease (not spec.)",Female,01-04,59
1901,1050.0,"Syncope, heart disease (not spec.)",Female,05-09,132
1901,1050.0,"Syncope, heart disease (not spec.)",Female,10-14,231
1901,1050.0,"Syncope, heart disease (not spec.)",Female,15-19,283
1901,1050.0,"Syncope, heart disease (not spec.)",Female,20-24,262
1901,1050.0,"Syncope, heart disease (not spec.)",Female,85+,324
1901,1050.0,"Syncope, heart disease (not spec.)",Female,<1,53
1901,1050.0,"Syncope, heart disease (not spec.)",Female,T25-34,735
1901,1050.0,"Syncope, heart disease (not spec.)",Female,T35-44,1316
1901,1050.0,"Syncope, heart disease (not spec.)",Female,T45-54,2099
1901,1050.0,"Syncope, heart disease (not spec.)",Female,T55-64,3570
1901,1050.0,"Syncope, heart disease (not spec.)",Female,T65-74,4382
1901,1050.0,"Syncope, heart disease (not spec.)",Female,T75-84,2469
1901,1050.0,"Syncope, heart disease (not spec.)",Male,01-04,58
1901,1050.0,"Syncope, heart disease (not spec.)",Male,05-09,123
1901,1050.0,"Syncope, heart disease (not spec.)",Male,10-14,195
1901,1050.0,"Syncope, heart disease (not spec.)",Male,15-19,272
1901,1050.0,"Syncope, heart disease (not spec.)",Male,20-24,238
1901,1050.0,"Syncope, heart disease (not spec.)",Male,85+,213
1901,1050.0,"Syncope, heart disease (not spec.)",Male,<1,82
1901,1050.0,"Syncope, heart disease (not spec.)",Male,T25-34,581
1901,1050.0,"Syncope, heart disease (not spec.)",Male,T35-44,1172
1901,1050.0,"Syncope, heart disease (not spec.)",Male,T45-54,1990
1901,1050.0,"Syncope, heart disease (not spec.)",Male,T55-64,3478
1901,1050.0,"Syncope, heart disease (not spec.)",Male,T65-74,3789
1901,1050.0,"Syncope, heart disease (not spec.)",Male,T75-84,1960
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,01-04,13
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,05-09,10
1901,1060.0,"Cerebral haemorrhage, cerebral embolism",Female,10-14,14
