code,icd_version,harmonized_category,harmonized_category_name,classification_confidence,notes
1660.0,ICD-1 (1901-1910),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",override,"REVIEW NEEDED - Original: Atrophy, debility"
1670.0,ICD-1 (1901-1910),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",override,REVIEW NEEDED - Original: Old age
1720.0,ICD-1 (1901-1910),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",override,REVIEW NEEDED - Original: Sudden death (cause unascertained)
1730.0,ICD-1 (1901-1910),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",override,REVIEW NEEDED - Original: Other ill-defined causes
1740.0,ICD-1 (1901-1910),ill_defined,"Symptoms, Signs and Ill-Defined Conditions",override,REVIEW NEEDED - Original: Causes not specified
1870.0,ICD-1 (1901-1910),other,Other and Unclassified,override,REVIEW NEEDED - Original: Otherwise or not stated
D002,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D002)
D010,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D010)
D012,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D012)
D013,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D013)
D014,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D014)
D015,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D015)
D017,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D017)
D020,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D020)
D022,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D022)
D038,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D038)
D039,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D039)
D043,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D043)
D044,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D044)
D049,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D049)
D051,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D051)
D059,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D059)
D070,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D070)
D071,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D071)
D073,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D073)
D075,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D075)
D090,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D090)
D091,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D091)
D097,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D097)
D099,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D099)
D101,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D101)
D103,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D103)
D105,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D105)
D107,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D107)
D109,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D109)
D110,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D110)
D117,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D117)
D119,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D119)
D120,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D120)
D121,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D121)
D123,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D123)
D125,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D125)
D126,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D126)
D127,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D127)
D128,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D128)
D130,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D130)
D131,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D131)
D132,ICD-10 (2001-),other,Other and Unclassified,override,REVIEW NEEDED - Original: Diseases of blood/immune/endocrine (D132)
