observation,Week
9270,week-31
9188,week-30
8070,week-22
9480,week-26
10704,week-14
10780,week-12
10723,week-49
10179,week-42
9340,week-39
8959,week-32
9268,week-29
10774,week-8
13062,week-4
10749,week-46
10607,week-45
9955,week-44
10188,week-43
9656,week-40
10198,week-15
8662,week-16
10461,week-13
9141,week-19
8785,week-17
11678,week-18
9363,week-27
10226,week-24
12796,week-5
13569,week-2
10446,week-48
10464,week-47
9912,week-41
9071,week-38
9245,week-37
7698,week-35
8791,week-33
9458,week-28
9752,week-25
10938,week-11
11560,week-7
13740,week-3
9762,week-36
9406,week-34
10560,week-21
10301,week-23
10812,week-20
12144,week-6
10214,week-1
11260,week-10
11188,week-9
