category_id,category_name,code_count,example_keywords
infectious_diseases,Infectious and Parasitic Diseases,2560,"fever, pox, plague, cholera, typhus, typhoid, malaria, diphtheria, whooping, scarlet"
neoplasms,Neoplasms (Cancers and Tumors),2313,"cancer, carcinoma, sarcoma, tumor, tumour, neoplasm, malignant, benign, lymphoma, leukaemia"
blood_immune,Blood and Immune System Disorders,210,"anaemia, anemia, haemophilia, purpura, thrombocytopeni, agranulocytosis, immunodeficiency, immune disorder"
endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",417,"diabetes, thyroid, goitre, gout, rickets, scurvy, beriberi, pellagra, marasmus, kwashiorkor"
mental_behavioral,Mental and Behavioral Disorders,461,"mental, insanity, mania, melancholia, psychosis, neurosis, dementia, delirium, alcoholism, drug dependence"
nervous_system,Diseases of the Nervous System,710,"nervous, brain, cerebral, apoplexy, paralysis, hemiplegia, epilepsy, convulsion, meningitis, encephalitis"
eye_ear,Diseases of Eye and Ear,814,"eye, vision, blind, cataract, glaucoma, ear, deaf, otitis"
circulatory,Diseases of the Circulatory System,1134,"heart, cardiac, myocardi, endocardi, pericardi, angina, coronary, artery, arteriosclerosis, atherosclerosis"
respiratory,Diseases of the Respiratory System,706,"lung, pulmonary, bronch, pneumonia, asthma, emphysema, larynx, laryngitis, croup, pharynx"
digestive,Diseases of the Digestive System,1250,"stomach, gastric, gastritis, ulcer, intestin, bowel, colon, rectum, anus, appendicitis"
skin,Diseases of the Skin,619,"skin, dermat, eczema, psoriasis, ulcer, abscess, carbuncle, cellulitis, gangrene"
musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,680,"arthritis, rheumat, osteo, bone, joint, muscle, muscular, spine, spinal, scoliosis"
genitourinary,Diseases of the Genitourinary System,1328,"kidney, renal, nephri, urinary, bladder, cystitis, urethr, prostate, uterus, ovary"
pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",831,"pregnancy, pregnant, childbirth, labour, labor, delivery, puerperal, placenta, abortion, miscarriage"
perinatal,Conditions Originating in Perinatal Period,313,"newborn, neonatal, birth, prematurity, foetal, fetal, perinatal, congenital"
congenital,Congenital Malformations and Chromosomal Abnormalities,143,"congenital, malformation, deformity, chromosomal, down syndrome, spina bifida, cleft"
injury_poisoning,"Injury, Poisoning and External Causes",4537,"injury, trauma, wound, fracture, burn, poison, toxic, accident, suicide, homicide"
ill_defined,"Symptoms, Signs and Ill-Defined Conditions",1158,"symptom, sign, ill-defined, unknown, unspecified, senility, old age, debility, sudden death, found dead"
other,Other and Unclassified,4377,
