version,code,description,category_code,category_name,classification_confidence
ICD-1,10,Small pox - vaccinated,L1_01,Infectious and Communicable Diseases,low
ICD-1,100,Plague,L1_01,Infectious and Communicable Diseases,low
ICD-1,110,Relapsing fever,L1_01,Infectious and Communicable Diseases,low
ICD-1,1230,"Tonsillitis, quinsy",L1_01,Infectious and Communicable Diseases,low
ICD-1,1290,Enteritis (not epidemic),L1_01,Infectious and Communicable Diseases,low
ICD-1,130,Whooping cough,L1_01,Infectious and Communicable Diseases,low
ICD-1,140,Mumps,L1_01,Infectious and Communicable Diseases,low
ICD-1,150,Diphtheria,L1_01,Infectious and Communicable Diseases,low
ICD-1,160,Cerebro-spinal fever,L1_01,Infectious and Communicable Diseases,low
ICD-1,170,Pyrexia (origin uncertain),L1_01,Infectious and Communicable Diseases,low
ICD-1,1741,Other specified diseases,L1_01,Infectious and Communicable Diseases,low
ICD-1,180,Enteric fever,L1_01,Infectious and Communicable Diseases,low
ICD-1,190,Asiatic cholera,L1_01,Infectious and Communicable Diseases,low
ICD-1,20,Small pox - not vaccinated,L1_01,Infectious and Communicable Diseases,low
ICD-1,200,Diarrhoea due to food,L1_01,Infectious and Communicable Diseases,low
ICD-1,210,"Infective enteritis, epidemic diarrhoea",L1_01,Infectious and Communicable Diseases,low
ICD-1,220,Diarrhoea (not otherwise defined),L1_01,Infectious and Communicable Diseases,low
ICD-1,230,Dysentry,L1_01,Infectious and Communicable Diseases,low
ICD-1,240,Tetanus,L1_01,Infectious and Communicable Diseases,low
ICD-1,250,Malaria,L1_01,Infectious and Communicable Diseases,low
ICD-1,260,"Rabies, hydrophobia",L1_01,Infectious and Communicable Diseases,low
ICD-1,270,Glanders,L1_01,Infectious and Communicable Diseases,low
ICD-1,280,Anthrax (splenic fever),L1_01,Infectious and Communicable Diseases,low
ICD-1,290,Syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-1,30,Small pox - doubtful,L1_01,Infectious and Communicable Diseases,low
ICD-1,300,Gonorrhoea,L1_01,Infectious and Communicable Diseases,low
ICD-1,310,Phlegmasia alba dolens,L1_01,Infectious and Communicable Diseases,low
ICD-1,350,Infective endocarditis,L1_01,Infectious and Communicable Diseases,low
ICD-1,40,Cow-pox and other effects of vaccination,L1_01,Infectious and Communicable Diseases,low
ICD-1,400,Erysipelas,L1_01,Infectious and Communicable Diseases,low
ICD-1,410,"Septicaemia, septic intoxication (not puerperal)",L1_01,Infectious and Communicable Diseases,low
ICD-1,420,Pyaemia (not puerperal),L1_01,Infectious and Communicable Diseases,low
ICD-1,430,"Phlegmon, carbuncle (not anthrax)",L1_01,Infectious and Communicable Diseases,low
ICD-1,440,Phagedaena,L1_01,Infectious and Communicable Diseases,low
ICD-1,450,Other infective processes,L1_01,Infectious and Communicable Diseases,low
ICD-1,460,Pulmonary tuberculosis (tuberculous phthisis),L1_01,Infectious and Communicable Diseases,low
ICD-1,480,Tuberculous meningitis,L1_01,Infectious and Communicable Diseases,low
ICD-1,490,Tuberculous peritonitis,L1_01,Infectious and Communicable Diseases,low
ICD-1,50,Chicken - pox,L1_01,Infectious and Communicable Diseases,low
ICD-1,500,Tabes mesenterica,L1_01,Infectious and Communicable Diseases,low
ICD-1,520,Tubercle of other organs,L1_01,Infectious and Communicable Diseases,low
ICD-1,530,General tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-1,550,Parasitic diseases,L1_01,Infectious and Communicable Diseases,low
ICD-1,60,Measles (morbilli),L1_01,Infectious and Communicable Diseases,low
ICD-1,630,"Rheumatic fever, acute rheumatism",L1_01,Infectious and Communicable Diseases,low
ICD-1,640,Rheumatism of heart,L1_01,Infectious and Communicable Diseases,low
ICD-1,70,German measles,L1_01,Infectious and Communicable Diseases,low
ICD-1,80,Scarlet fever,L1_01,Infectious and Communicable Diseases,low
ICD-1,830,"Meningitis, brain inflammation",L1_01,Infectious and Communicable Diseases,low
ICD-1,90,Typhus,L1_01,Infectious and Communicable Diseases,low
ICD-1,960,"Otitis, mastoid disease",L1_01,Infectious and Communicable Diseases,low
ICD-1,980,"Ophthalmia, eye diseases",L1_01,Infectious and Communicable Diseases,low
ICD-10,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",L1_01,Infectious and Communicable Diseases,low
