code,description,source_file,icd_version
10.0,Small pox - vaccinated,icd1.xls,ICD-1 (1901-1910)
20.0,Small pox - not vaccinated,icd1.xls,ICD-1 (1901-1910)
30.0,Small pox - doubtful,icd1.xls,ICD-1 (1901-1910)
40.0,Cow-pox and other effects of vaccination,icd1.xls,ICD-1 (1901-1910)
50.0,Chicken - pox,icd1.xls,ICD-1 (1901-1910)
60.0,Measles (morbilli),icd1.xls,ICD-1 (1901-1910)
70.0,German measles,icd1.xls,ICD-1 (1901-1910)
80.0,Scarlet fever,icd1.xls,ICD-1 (1901-1910)
90.0,Typhus,icd1.xls,ICD-1 (1901-1910)
100.0,Plague,icd1.xls,ICD-1 (1901-1910)
110.0,Relapsing fever,icd1.xls,ICD-1 (1901-1910)
120.0,Influenza,icd1.xls,ICD-1 (1901-1910)
130.0,Whooping cough,icd1.xls,ICD-1 (1901-1910)
140.0,Mumps,icd1.xls,ICD-1 (1901-1910)
150.0,Diphtheria,icd1.xls,ICD-1 (1901-1910)
160.0,Cerebro-spinal fever,icd1.xls,ICD-1 (1901-1910)
170.0,Pyrexia (origin uncertain),icd1.xls,ICD-1 (1901-1910)
180.0,Enteric fever,icd1.xls,ICD-1 (1901-1910)
190.0,Asiatic cholera,icd1.xls,ICD-1 (1901-1910)
200.0,Diarrhoea due to food,icd1.xls,ICD-1 (1901-1910)
210.0,"Infective enteritis, epidemic diarrhoea",icd1.xls,ICD-1 (1901-1910)
220.0,Diarrhoea (not otherwise defined),icd1.xls,ICD-1 (1901-1910)
230.0,Dysentry,icd1.xls,ICD-1 (1901-1910)
240.0,Tetanus,icd1.xls,ICD-1 (1901-1910)
250.0,Malaria,icd1.xls,ICD-1 (1901-1910)
260.0,"Rabies, hydrophobia",icd1.xls,ICD-1 (1901-1910)
270.0,Glanders,icd1.xls,ICD-1 (1901-1910)
280.0,Anthrax (splenic fever),icd1.xls,ICD-1 (1901-1910)
290.0,Syphilis,icd1.xls,ICD-1 (1901-1910)
300.0,Gonorrhoea,icd1.xls,ICD-1 (1901-1910)
310.0,Phlegmasia alba dolens,icd1.xls,ICD-1 (1901-1910)
320.0,Puerperal septicaemia/septic intoxication,icd1.xls,ICD-1 (1901-1910)
330.0,Puerperal pyaemia,icd1.xls,ICD-1 (1901-1910)
340.0,Puerperal fever (not otherwise def.),icd1.xls,ICD-1 (1901-1910)
350.0,Infective endocarditis,icd1.xls,ICD-1 (1901-1910)
360.0,Pneumonia - lobar,icd1.xls,ICD-1 (1901-1910)
370.0,Pneumonia - epidemic,icd1.xls,ICD-1 (1901-1910)
380.0,Pneumonia - broncho,icd1.xls,ICD-1 (1901-1910)
390.0,Pneumonia - not def.,icd1.xls,ICD-1 (1901-1910)
400.0,Erysipelas,icd1.xls,ICD-1 (1901-1910)
410.0,"Septicaemia, septic intoxication (not puerperal)",icd1.xls,ICD-1 (1901-1910)
420.0,Pyaemia (not puerperal),icd1.xls,ICD-1 (1901-1910)
430.0,"Phlegmon, carbuncle (not anthrax)",icd1.xls,ICD-1 (1901-1910)
440.0,Phagedaena,icd1.xls,ICD-1 (1901-1910)
450.0,Other infective processes,icd1.xls,ICD-1 (1901-1910)
460.0,Pulmonary tuberculosis (tuberculous phthisis),icd1.xls,ICD-1 (1901-1910)
470.0,Phthisis (not otherwise def.),icd1.xls,ICD-1 (1901-1910)
480.0,Tuberculous meningitis,icd1.xls,ICD-1 (1901-1910)
490.0,Tuberculous peritonitis,icd1.xls,ICD-1 (1901-1910)
500.0,Tabes mesenterica,icd1.xls,ICD-1 (1901-1910)
510.0,Lupus,icd1.xls,ICD-1 (1901-1910)
520.0,Tubercle of other organs,icd1.xls,ICD-1 (1901-1910)
530.0,General tuberculosis,icd1.xls,ICD-1 (1901-1910)
540.0,Scrofula,icd1.xls,ICD-1 (1901-1910)
550.0,Parasitic diseases,icd1.xls,ICD-1 (1901-1910)
560.0,Starvation,icd1.xls,ICD-1 (1901-1910)
570.0,Scurvy,icd1.xls,ICD-1 (1901-1910)
580.0,Alcoholism/delirium tremens,icd1.xls,ICD-1 (1901-1910)
590.0,"Opium, morphia habit",icd1.xls,ICD-1 (1901-1910)
600.0,Industrial poisoning by lead,icd1.xls,ICD-1 (1901-1910)
610.0,Industrial poisoning by phosphorus,icd1.xls,ICD-1 (1901-1910)
620.0,Industrial poisoning by arsenic & other metals,icd1.xls,ICD-1 (1901-1910)
630.0,"Rheumatic fever, acute rheumatism",icd1.xls,ICD-1 (1901-1910)
640.0,Rheumatism of heart,icd1.xls,ICD-1 (1901-1910)
650.0,Chronic rheumatism,icd1.xls,ICD-1 (1901-1910)
660.0,"Rheumatoid arthritis, rheumatic gout",icd1.xls,ICD-1 (1901-1910)
670.0,Gout,icd1.xls,ICD-1 (1901-1910)
680.0,Carcinoma,icd1.xls,ICD-1 (1901-1910)
690.0,Sarcoma,icd1.xls,ICD-1 (1901-1910)
700.0,"Cancer, malignant disease (n.o.d.)",icd1.xls,ICD-1 (1901-1910)
710.0,Rickets,icd1.xls,ICD-1 (1901-1910)
720.0,Purpura,icd1.xls,ICD-1 (1901-1910)
730.0,"Haemophilia, haemorrhagic diathesis",icd1.xls,ICD-1 (1901-1910)
740.0,"Anaemia, leucocythaemia",icd1.xls,ICD-1 (1901-1910)
750.0,Diabetes mellitus,icd1.xls,ICD-1 (1901-1910)
760.0,Premature birth,icd1.xls,ICD-1 (1901-1910)
770.0,Congenital hydrocephalus,icd1.xls,ICD-1 (1901-1910)
780.0,Other congenital defects,icd1.xls,ICD-1 (1901-1910)
790.0,Injury at birth,icd1.xls,ICD-1 (1901-1910)
800.0,Atelectasis,icd1.xls,ICD-1 (1901-1910)
810.0,Want of breast milk,icd1.xls,ICD-1 (1901-1910)
820.0,Teething,icd1.xls,ICD-1 (1901-1910)
830.0,"Meningitis, brain inflammation",icd1.xls,ICD-1 (1901-1910)
840.0,Softening of brain,icd1.xls,ICD-1 (1901-1910)
850.0,General paralysis of insane,icd1.xls,ICD-1 (1901-1910)
860.0,Insanity (not puerperal),icd1.xls,ICD-1 (1901-1910)
870.0,Chorea,icd1.xls,ICD-1 (1901-1910)
880.0,Epilepsy,icd1.xls,ICD-1 (1901-1910)
890.0,Convulsions,icd1.xls,ICD-1 (1901-1910)
900.0,Laryngismus stridulus,icd1.xls,ICD-1 (1901-1910)
910.0,Locomotor ataxy,icd1.xls,ICD-1 (1901-1910)
920.0,"Paraplegia, diseases of cord",icd1.xls,ICD-1 (1901-1910)
930.0,"Neuritis, peripheral, polyneuritis",icd1.xls,ICD-1 (1901-1910)
940.0,Brain tumour (not specific),icd1.xls,ICD-1 (1901-1910)
950.0,Other diseases of nervous system,icd1.xls,ICD-1 (1901-1910)
960.0,"Otitis, mastoid disease",icd1.xls,ICD-1 (1901-1910)
970.0,"Epistaxis, diseases of nose",icd1.xls,ICD-1 (1901-1910)
980.0,"Ophthalmia, eye diseases",icd1.xls,ICD-1 (1901-1910)
990.0,"Valvular disease, endocarditis (not infective)",icd1.xls,ICD-1 (1901-1910)
1000.0,Pericarditis,icd1.xls,ICD-1 (1901-1910)
1010.0,Angina pectoris,icd1.xls,ICD-1 (1901-1910)
1020.0,Fatty degeneration of heart,icd1.xls,ICD-1 (1901-1910)
1030.0,Hypertrophy of heart,icd1.xls,ICD-1 (1901-1910)
1040.0,Dilation of heart,icd1.xls,ICD-1 (1901-1910)
1050.0,"Syncope, heart disease (not spec.)",icd1.xls,ICD-1 (1901-1910)
1060.0,"Cerebral haemorrhage, cerebral embolism",icd1.xls,ICD-1 (1901-1910)
1070.0,"Apoplexy, hemiplegia",icd1.xls,ICD-1 (1901-1910)
1080.0,Aneurysm,icd1.xls,ICD-1 (1901-1910)
1090.0,Senile gangrene,icd1.xls,ICD-1 (1901-1910)
1100.0,"Embolism, thrombosis (not cerebral)",icd1.xls,ICD-1 (1901-1910)
1110.0,Phlebitis,icd1.xls,ICD-1 (1901-1910)
1120.0,Varicose veins,icd1.xls,ICD-1 (1901-1910)
1130.0,Other diseases of blood vessels,icd1.xls,ICD-1 (1901-1910)
1140.0,Laryngitis,icd1.xls,ICD-1 (1901-1910)
1150.0,Membranous laryngitis (not diphtheritic),icd1.xls,ICD-1 (1901-1910)
1160.0,Croup (not spasmodic nor membranous),icd1.xls,ICD-1 (1901-1910)
1170.0,Other diseases of larynx and trachea,icd1.xls,ICD-1 (1901-1910)
1180.0,Bronchitis,icd1.xls,ICD-1 (1901-1910)
1190.0,"Emphysema, asthma",icd1.xls,ICD-1 (1901-1910)
1200.0,Pleurisy,icd1.xls,ICD-1 (1901-1910)
1210.0,Fibroid disease of lung,icd1.xls,ICD-1 (1901-1910)
1220.0,Other diseases of respiratory system,icd1.xls,ICD-1 (1901-1910)
1230.0,"Tonsillitis, quinsy",icd1.xls,ICD-1 (1901-1910)
1240.0,"Diseases of mouth, pharynx, oesophagus (not spec.)",icd1.xls,ICD-1 (1901-1910)
1250.0,Gastric ulcer,icd1.xls,ICD-1 (1901-1910)
