code,description
9454,Agents primarily acting on the smooth and skeletal muscles and respiratory system - Antitussives
3454,"Epilepsy - Partial epilepsy, with impairment of consciousness"
3456,Epilepsy - Infantile spasms
3457,Epilepsy - Epilepsia partialis continua
3458,Epilepsy - Other
3459,Epilepsy - Unspecified
3460,Migraine - Classical migraine
3461,Migraine - Common migraine
3462,Migraine - Variants of migraine
3468,Migraine - Other
3469,Migraine - Unspecified
3470,Cataplexy and narcolepsy - Cataplexy and narcolepsy
3480,Other conditions of brain - Cerebral cysts
3481,Other conditions of brain - Anoxic brain damage
3482,Other conditions of brain - Benign intracranial hypertension
3483,"Other conditions of brain - Encephalopathy, unspecified"
3484,Other conditions of brain - Compression of brain
3485,Other conditions of brain - Cerebral oedema
3488,Other conditions of brain - Other
3455,"Epilepsy - Partial epilepsy, without mention of impairment of consciousness"
3453,Epilepsy - Grand mal status
3429,Hemiplegia - Unspecified
3452,Epilepsy - Petit mal status
3431,Infantile cerebral palsy - Hemiplegic
3432,Infantile cerebral palsy - Quadriplegic
3433,Infantile cerebral palsy - Monoplegic
3434,Infantile cerebral palsy - Infantile hemiplegia
3438,Infantile cerebral palsy - Other
3439,Infantile cerebral palsy - Unspecified
3440,Other paralytic syndromes - Quadriplegia
3441,Other paralytic syndromes - Paraplegia
3442,Other paralytic syndromes - Diplegia of upper limbs
3443,Other paralytic syndromes - Monoplegia of lower limb
3444,Other paralytic syndromes - Monoplegia of upper limb
3445,Other paralytic syndromes - Unspecified monoplegia
3446,Other paralytic syndromes - Cauda equina syndrome
3448,Other paralytic syndromes - Other
3449,Other paralytic syndromes - Unspecified
3450,Epilepsy - Generalized nonconvulsive epilepsy
3451,Epilepsy - Generalized convulsive epilepsy
3489,Other conditions of brain - Unspecified
3490,Other and unspecified disorders of the nervous system - Reaction to spinal or lumbar puncture
3491,Other and unspecified disorders of the nervous system - Nervous system complications from surgically implanted device
3492,"Other and unspecified disorders of the nervous system - Disorders of meninges, not elsewhere classified"
3531,Nerve root and plexus disorders - Lumbosacral plexus lesions
3532,"Nerve root and plexus disorders - Cervical root lesions, not elsewhere classified"
3533,"Nerve root and plexus disorders - Thoracic root lesions, not elsewhere classified"
3534,"Nerve root and plexus disorders - Lumbosacral root lesions, not elsewhere classified"
3535,Nerve root and plexus disorders - Neuralgic amyotrophy
3536,Nerve root and plexus disorders - Phantom limb syndrome
3538,Nerve root and plexus disorders - Other
3539,Nerve root and plexus disorders - Unspecified
3540,Mononeuritis of upper limb and mononeuritis multiplex - Carpal tunnel syndrome
3541,Mononeuritis of upper limb and mononeuritis multiplex - Other lesion of median nerve
3542,Mononeuritis of upper limb and mononeuritis multiplex - Lesion of ulnar nerve
3543,Mononeuritis of upper limb and mononeuritis multiplex - Lesion of radial nerve
3544,Mononeuritis of upper limb and mononeuritis multiplex - Causalgia
3545,Mononeuritis of upper limb and mononeuritis multiplex - Mononeuritis multiplex
3548,Mononeuritis of upper limb and mononeuritis multiplex - Other
3549,Mononeuritis of upper limb and mononeuritis multiplex - Unspecified
3550,Mononeuritis of lower limb - Lesion of sciatic nerve
3530,Nerve root and plexus disorders - Brachial plexus lesions
3529,Disorders of other cranial nerves - Unspecified
3526,Disorders of other cranial nerves - Multiple cranial nerve palsies
3510,Facial nerve disorders - Bell's palsy
3498,Other and unspecified disorders of the nervous system - Other
3499,Other and unspecified disorders of the nervous system - Unspecified
3500,Trigeminal nerve disorders - Post-herpetic trigeminal neuralgia
3501,Trigeminal nerve disorders - Other trigeminal neuralgia
3502,Trigeminal nerve disorders - Atypical face pain
3508,Trigeminal nerve disorders - Other
3509,Trigeminal nerve disorders - Unspecified
3511,Facial nerve disorders - Geniculate ganglionitis
3525,Disorders of other cranial nerves - Disorders of hypoglossal [12th] nerve
3518,Facial nerve disorders - Other
3519,Facial nerve disorders - Unspecified
3520,Disorders of other cranial nerves - Disorders of olfactory [1st] nerve
3521,Disorders of other cranial nerves - Glossopharyngeal neuralgia
3522,Disorders of other cranial nerves - Other disorders of glossopharyngeal [9th] nerve
3523,Disorders of other cranial nerves - Disorders of pneumogastric [10th] nerve
3524,Disorders of other cranial nerves - Disorders of accessory [11th] nerve
3430,Infantile cerebral palsy - Diplegic
3421,Hemiplegia - Spastic hemiplegia
3211,Meningitis due to other organisms - Meningitis due to Coxsackie virus
3239,"Encephalitis, myelitis and encephalomyelitis - Unspecified cause"
3241,Intracranial and intraspinal abscess - Intraspinal abscess
