code,icd_version,original_description,harmonized_category,harmonized_category_name,classification_confidence
10.0,ICD-1 (1901-1910),Small pox - vaccinated,infectious_diseases,Infectious and Parasitic Diseases,medium
20.0,ICD-1 (1901-1910),Small pox - not vaccinated,infectious_diseases,Infectious and Parasitic Diseases,medium
30.0,ICD-1 (1901-1910),Small pox - doubtful,infectious_diseases,Infectious and Parasitic Diseases,medium
40.0,ICD-1 (1901-1910),Cow-pox and other effects of vaccination,infectious_diseases,Infectious and Parasitic Diseases,medium
50.0,ICD-1 (1901-1910),Chicken - pox,infectious_diseases,Infectious and Parasitic Diseases,medium
60.0,ICD-1 (1901-1910),Measles (morbilli),infectious_diseases,Infectious and Parasitic Diseases,medium
70.0,ICD-1 (1901-1910),German measles,infectious_diseases,Infectious and Parasitic Diseases,medium
80.0,ICD-1 (1901-1910),Scarlet fever,infectious_diseases,Infectious and Parasitic Diseases,high
90.0,ICD-1 (1901-1910),Typhus,infectious_diseases,Infectious and Parasitic Diseases,medium
100.0,ICD-1 (1901-1910),Plague,infectious_diseases,Infectious and Parasitic Diseases,medium
110.0,ICD-1 (1901-1910),Relapsing fever,infectious_diseases,Infectious and Parasitic Diseases,medium
120.0,ICD-1 (1901-1910),Influenza,infectious_diseases,Infectious and Parasitic Diseases,medium
130.0,ICD-1 (1901-1910),Whooping cough,infectious_diseases,Infectious and Parasitic Diseases,medium
140.0,ICD-1 (1901-1910),Mumps,infectious_diseases,Infectious and Parasitic Diseases,medium
150.0,ICD-1 (1901-1910),Diphtheria,infectious_diseases,Infectious and Parasitic Diseases,medium
160.0,ICD-1 (1901-1910),Cerebro-spinal fever,infectious_diseases,Infectious and Parasitic Diseases,medium
170.0,ICD-1 (1901-1910),Pyrexia (origin uncertain),other,Other and Unclassified,low
180.0,ICD-1 (1901-1910),Enteric fever,infectious_diseases,Infectious and Parasitic Diseases,medium
190.0,ICD-1 (1901-1910),Asiatic cholera,infectious_diseases,Infectious and Parasitic Diseases,medium
200.0,ICD-1 (1901-1910),Diarrhoea due to food,infectious_diseases,Infectious and Parasitic Diseases,medium
210.0,ICD-1 (1901-1910),"Infective enteritis, epidemic diarrhoea",infectious_diseases,Infectious and Parasitic Diseases,high
220.0,ICD-1 (1901-1910),Diarrhoea (not otherwise defined),infectious_diseases,Infectious and Parasitic Diseases,medium
230.0,ICD-1 (1901-1910),Dysentry,other,Other and Unclassified,low
240.0,ICD-1 (1901-1910),Tetanus,infectious_diseases,Infectious and Parasitic Diseases,medium
250.0,ICD-1 (1901-1910),Malaria,infectious_diseases,Infectious and Parasitic Diseases,medium
260.0,ICD-1 (1901-1910),"Rabies, hydrophobia",infectious_diseases,Infectious and Parasitic Diseases,medium
270.0,ICD-1 (1901-1910),Glanders,infectious_diseases,Infectious and Parasitic Diseases,medium
280.0,ICD-1 (1901-1910),Anthrax (splenic fever),infectious_diseases,Infectious and Parasitic Diseases,high
290.0,ICD-1 (1901-1910),Syphilis,infectious_diseases,Infectious and Parasitic Diseases,medium
300.0,ICD-1 (1901-1910),Gonorrhoea,infectious_diseases,Infectious and Parasitic Diseases,medium
310.0,ICD-1 (1901-1910),Phlegmasia alba dolens,other,Other and Unclassified,low
320.0,ICD-1 (1901-1910),Puerperal septicaemia/septic intoxication,infectious_diseases,Infectious and Parasitic Diseases,medium
330.0,ICD-1 (1901-1910),Puerperal pyaemia,pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",medium
340.0,ICD-1 (1901-1910),Puerperal fever (not otherwise def.),infectious_diseases,Infectious and Parasitic Diseases,medium
350.0,ICD-1 (1901-1910),Infective endocarditis,circulatory,Diseases of the Circulatory System,medium
360.0,ICD-1 (1901-1910),Pneumonia - lobar,respiratory,Diseases of the Respiratory System,medium
370.0,ICD-1 (1901-1910),Pneumonia - epidemic,infectious_diseases,Infectious and Parasitic Diseases,medium
380.0,ICD-1 (1901-1910),Pneumonia - broncho,respiratory,Diseases of the Respiratory System,high
390.0,ICD-1 (1901-1910),Pneumonia - not def.,respiratory,Diseases of the Respiratory System,medium
400.0,ICD-1 (1901-1910),Erysipelas,skin,Diseases of the Skin,medium
410.0,ICD-1 (1901-1910),"Septicaemia, septic intoxication (not puerperal)",infectious_diseases,Infectious and Parasitic Diseases,medium
420.0,ICD-1 (1901-1910),Pyaemia (not puerperal),pregnancy_childbirth,"Pregnancy, Childbirth and Puerperium",medium
430.0,ICD-1 (1901-1910),"Phlegmon, carbuncle (not anthrax)",infectious_diseases,Infectious and Parasitic Diseases,medium
440.0,ICD-1 (1901-1910),Phagedaena,other,Other and Unclassified,low
450.0,ICD-1 (1901-1910),Other infective processes,other,Other and Unclassified,low
460.0,ICD-1 (1901-1910),Pulmonary tuberculosis (tuberculous phthisis),infectious_diseases,Infectious and Parasitic Diseases,medium
470.0,ICD-1 (1901-1910),Phthisis (not otherwise def.),other,Other and Unclassified,low
480.0,ICD-1 (1901-1910),Tuberculous meningitis,infectious_diseases,Infectious and Parasitic Diseases,medium
490.0,ICD-1 (1901-1910),Tuberculous peritonitis,digestive,Diseases of the Digestive System,medium
500.0,ICD-1 (1901-1910),Tabes mesenterica,other,Other and Unclassified,low
510.0,ICD-1 (1901-1910),Lupus,other,Other and Unclassified,low
520.0,ICD-1 (1901-1910),Tubercle of other organs,other,Other and Unclassified,low
530.0,ICD-1 (1901-1910),General tuberculosis,infectious_diseases,Infectious and Parasitic Diseases,medium
540.0,ICD-1 (1901-1910),Scrofula,other,Other and Unclassified,low
550.0,ICD-1 (1901-1910),Parasitic diseases,infectious_diseases,Infectious and Parasitic Diseases,medium
560.0,ICD-1 (1901-1910),Starvation,other,Other and Unclassified,low
570.0,ICD-1 (1901-1910),Scurvy,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
580.0,ICD-1 (1901-1910),Alcoholism/delirium tremens,Legal Drugs,Legal Drug-Related Deaths,high
590.0,ICD-1 (1901-1910),"Opium, morphia habit",Drugs,Drug-Related Deaths,medium
600.0,ICD-1 (1901-1910),Industrial poisoning by lead,injury_poisoning,"Injury, Poisoning and External Causes",medium
610.0,ICD-1 (1901-1910),Industrial poisoning by phosphorus,injury_poisoning,"Injury, Poisoning and External Causes",medium
620.0,ICD-1 (1901-1910),Industrial poisoning by arsenic & other metals,injury_poisoning,"Injury, Poisoning and External Causes",medium
630.0,ICD-1 (1901-1910),"Rheumatic fever, acute rheumatism",infectious_diseases,Infectious and Parasitic Diseases,medium
640.0,ICD-1 (1901-1910),Rheumatism of heart,eye_ear,Diseases of Eye and Ear,medium
650.0,ICD-1 (1901-1910),Chronic rheumatism,musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,medium
660.0,ICD-1 (1901-1910),"Rheumatoid arthritis, rheumatic gout",musculoskeletal,Diseases of Musculoskeletal System and Connective Tissue,high
670.0,ICD-1 (1901-1910),Gout,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
680.0,ICD-1 (1901-1910),Carcinoma,neoplasms,Neoplasms (Cancers and Tumors),medium
690.0,ICD-1 (1901-1910),Sarcoma,neoplasms,Neoplasms (Cancers and Tumors),medium
700.0,ICD-1 (1901-1910),"Cancer, malignant disease (n.o.d.)",neoplasms,Neoplasms (Cancers and Tumors),high
710.0,ICD-1 (1901-1910),Rickets,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
720.0,ICD-1 (1901-1910),Purpura,blood_immune,Blood and Immune System Disorders,medium
730.0,ICD-1 (1901-1910),"Haemophilia, haemorrhagic diathesis",blood_immune,Blood and Immune System Disorders,medium
740.0,ICD-1 (1901-1910),"Anaemia, leucocythaemia",blood_immune,Blood and Immune System Disorders,medium
750.0,ICD-1 (1901-1910),Diabetes mellitus,endocrine_metabolic,"Endocrine, Nutritional and Metabolic Diseases",medium
760.0,ICD-1 (1901-1910),Premature birth,perinatal,Conditions Originating in Perinatal Period,medium
770.0,ICD-1 (1901-1910),Congenital hydrocephalus,genitourinary,Diseases of the Genitourinary System,medium
780.0,ICD-1 (1901-1910),Other congenital defects,genitourinary,Diseases of the Genitourinary System,medium
790.0,ICD-1 (1901-1910),Injury at birth,perinatal,Conditions Originating in Perinatal Period,medium
800.0,ICD-1 (1901-1910),Atelectasis,respiratory,Diseases of the Respiratory System,medium
810.0,ICD-1 (1901-1910),Want of breast milk,other,Other and Unclassified,low
820.0,ICD-1 (1901-1910),Teething,other,Other and Unclassified,low
830.0,ICD-1 (1901-1910),"Meningitis, brain inflammation",nervous_system,Diseases of the Nervous System,high
840.0,ICD-1 (1901-1910),Softening of brain,nervous_system,Diseases of the Nervous System,medium
850.0,ICD-1 (1901-1910),General paralysis of insane,nervous_system,Diseases of the Nervous System,medium
860.0,ICD-1 (1901-1910),Insanity (not puerperal),mental_behavioral,Mental and Behavioral Disorders,medium
870.0,ICD-1 (1901-1910),Chorea,nervous_system,Diseases of the Nervous System,medium
880.0,ICD-1 (1901-1910),Epilepsy,nervous_system,Diseases of the Nervous System,medium
890.0,ICD-1 (1901-1910),Convulsions,nervous_system,Diseases of the Nervous System,medium
900.0,ICD-1 (1901-1910),Laryngismus stridulus,respiratory,Diseases of the Respiratory System,medium
910.0,ICD-1 (1901-1910),Locomotor ataxy,other,Other and Unclassified,low
920.0,ICD-1 (1901-1910),"Paraplegia, diseases of cord",other,Other and Unclassified,low
930.0,ICD-1 (1901-1910),"Neuritis, peripheral, polyneuritis",nervous_system,Diseases of the Nervous System,medium
940.0,ICD-1 (1901-1910),Brain tumour (not specific),neoplasms,Neoplasms (Cancers and Tumors),medium
950.0,ICD-1 (1901-1910),Other diseases of nervous system,nervous_system,Diseases of the Nervous System,medium
960.0,ICD-1 (1901-1910),"Otitis, mastoid disease",eye_ear,Diseases of Eye and Ear,medium
