year,cause,sex,age,deaths,icd_version
1993,5159,Male,80-84,1,ICD-9
1993,5894,Female,65-69,1,ICD-9
1993,9522,Male,45-49,1,ICD-9
1994,1635,Male,65-69,1,ICD-9
1994,1652,Male,70-74,1,ICD-9
1994,4856,Female,85+,1,ICD-9
1994,8266,Female,05-09,1,ICD-9
1994,8267,Male,80-84,1,ICD-9
1994,8959,Male,30-34,1,ICD-9
1994,9523,Male,50-54,1,ICD-9
1994,9825,Female,40-44,1,ICD-9
1995,7156,Male,45-49,1,ICD-9
1995,8266,Female,60-64,1,ICD-9
1995,8266,Male,25-29,1,ICD-9
1995,8266,Male,70-74,1,ICD-9
1995,8489,Male,75-79,1,ICD-9
1995,9012,Male,30-34,1,ICD-9
1995,9122,Male,20-24,1,ICD-9
1995,9849,Female,60-64,1,ICD-9
1998,9603,Male,35-39,1,ICD-9
1998,9639,Female,75-79,1,ICD-9
