icd_version,cause_code,record_count,total_deaths,first_year,last_year,sample_ages
ICD-3,41,360,6563,1921,1930,"01-04, 05-09, 10-14, 15-19, 20-24"
ICD-9,8266,4,4,1994,1995,"05-09, 25-29, 60-64, 70-74"
ICD-9,1635,1,1,1994,1994,65-69
ICD-9,8959,1,1,1994,1994,30-34
ICD-9,9825,1,1,1994,1994,40-44
ICD-9,9639,1,1,1998,1998,75-79
ICD-9,9603,1,1,1998,1998,35-39
ICD-9,9523,1,1,1994,1994,50-54
ICD-9,9522,1,1,1993,1993,45-49
ICD-9,9122,1,1,1995,1995,20-24
ICD-9,9012,1,1,1995,1995,30-34
ICD-9,8489,1,1,1995,1995,75-79
ICD-9,1652,1,1,1994,1994,70-74
ICD-9,8267,1,1,1994,1994,80-84
ICD-9,7156,1,1,1995,1995,45-49
ICD-9,5894,1,1,1993,1993,65-69
ICD-9,5159,1,1,1993,1993,80-84
ICD-9,4856,1,1,1994,1994,85+
ICD-9,1759,1,1,2000,2000,65-69
ICD-9,9849,1,1,1995,1995,60-64
