cause,icd_version,cause_description,level1_code,level1_name
10.0,ICD-1 (1901-1910),Small pox - vaccinated,,
100.0,ICD-1 (1901-1910),Plague,,
1000.0,ICD-1 (1901-1910),Pericarditis,,
1010.0,ICD-1 (1901-1910),Angina pectoris,,
1020.0,ICD-1 (1901-1910),Fatty degeneration of heart,,
1030.0,ICD-1 (1901-1910),Hypertrophy of heart,,
1040.0,ICD-1 (1901-1910),Dilation of heart,,
1050.0,ICD-1 (1901-1910),"Syncope, heart disease (not spec.)",,
1060.0,ICD-1 (1901-1910),"Cerebral haemorrhage, cerebral embolism",,
1070.0,ICD-1 (1901-1910),"Apoplexy, hemiplegia",,
1080.0,ICD-1 (1901-1910),Aneurysm,,
1090.0,ICD-1 (1901-1910),Senile gangrene,,
110.0,ICD-1 (1901-1910),Relapsing fever,,
1100.0,ICD-1 (1901-1910),"Embolism, thrombosis (not cerebral)",,
1110.0,ICD-1 (1901-1910),Phlebitis,,
1120.0,ICD-1 (1901-1910),Varicose veins,,
1130.0,ICD-1 (1901-1910),Other diseases of blood vessels,,
1140.0,ICD-1 (1901-1910),Laryngitis,,
1150.0,ICD-1 (1901-1910),Membranous laryngitis (not diphtheritic),,
1160.0,ICD-1 (1901-1910),Croup (not spasmodic nor membranous),,
1170.0,ICD-1 (1901-1910),Other diseases of larynx and trachea,,
1180.0,ICD-1 (1901-1910),Bronchitis,,
1190.0,ICD-1 (1901-1910),"Emphysema, asthma",,
120.0,ICD-1 (1901-1910),Influenza,,
1200.0,ICD-1 (1901-1910),Pleurisy,,
1210.0,ICD-1 (1901-1910),Fibroid disease of lung,,
1220.0,ICD-1 (1901-1910),Other diseases of respiratory system,,
1230.0,ICD-1 (1901-1910),"Tonsillitis, quinsy",,
1240.0,ICD-1 (1901-1910),"Diseases of mouth, pharynx, oesophagus (not spec.)",,
1250.0,ICD-1 (1901-1910),Gastric ulcer,,
1260.0,ICD-1 (1901-1910),"Gastritis, gastric catarrh",,
1270.0,ICD-1 (1901-1910),Other diseases of stomach (not malignant),,
1280.0,ICD-1 (1901-1910),Ulceration of intestines,,
1290.0,ICD-1 (1901-1910),Enteritis (not epidemic),,
130.0,ICD-1 (1901-1910),Whooping cough,,
1300.0,ICD-1 (1901-1910),Gastro-enteritis,,
1310.0,ICD-1 (1901-1910),"Appendicitis, perityphlitis",,
1320.0,ICD-1 (1901-1910),Hernia,,
1330.0,ICD-1 (1901-1910),Intestinal obstruction,,
1340.0,ICD-1 (1901-1910),Other diseases of intestines,,
1350.0,ICD-1 (1901-1910),Peritonitis (not puerperal),,
1360.0,ICD-1 (1901-1910),Cirrhosis of liver,,
1370.0,ICD-1 (1901-1910),Other diseases of liver and gall bladder,,
1380.0,ICD-1 (1901-1910),Other diseases of digestive system,,
1390.0,ICD-1 (1901-1910),Diseases of spleen,,
140.0,ICD-1 (1901-1910),Mumps,,
1400.0,ICD-1 (1901-1910),Other diseases of lymphatic system,,
1410.0,ICD-1 (1901-1910),Diseases of thyroid body,,
1420.0,ICD-1 (1901-1910),Diseases of supra renal capsules,,
1430.0,ICD-1 (1901-1910),"Acute nephritis, uraemia",,
1440.0,ICD-1 (1901-1910),"Chronic Bright's disease, albuminuria",,
1450.0,ICD-1 (1901-1910),Calculus (not biliary),,
1460.0,ICD-1 (1901-1910),Diseases of bladder and of prostate,,
1470.0,ICD-1 (1901-1910),Other diseases of urinary system,,
1480.0,ICD-1 (1901-1910),Ovarian tumour (not malignant),,
1490.0,ICD-1 (1901-1910),Other diseases of ovary,,
150.0,ICD-1 (1901-1910),Diphtheria,,
1500.0,ICD-1 (1901-1910),Uterine tumour (not malignant),,
1510.0,ICD-1 (1901-1910),Other diseases of uterus and vagina,,
1520.0,ICD-1 (1901-1910),Disorders of menstruation,,
1530.0,ICD-1 (1901-1910),Other diseases of generative and mammary organs,,
1540.0,ICD-1 (1901-1910),"Abortion, miscarriage",,
1550.0,ICD-1 (1901-1910),Puerperal mania,,
1560.0,ICD-1 (1901-1910),Puerperal convulsions,,
1570.0,ICD-1 (1901-1910),"Placenta praevia, flooding",,
1580.0,ICD-1 (1901-1910),Other accidents of pregnancy and childbirth,,
1590.0,ICD-1 (1901-1910),"Caries, necrosis",,
160.0,ICD-1 (1901-1910),Cerebro-spinal fever,,
1600.0,ICD-1 (1901-1910),"Arthritis, periostitis",,
1610.0,ICD-1 (1901-1910),Other diseases of locomotor system,,
1620.0,ICD-1 (1901-1910),"Ulcer, bed-sore",,
1630.0,ICD-1 (1901-1910),Eczema,,
1640.0,ICD-1 (1901-1910),Pemphigus,,
1650.0,ICD-1 (1901-1910),Other diseases of the skin,,
1660.0,ICD-1 (1901-1910),"Atrophy, debility",,
1670.0,ICD-1 (1901-1910),Old age,,
1680.0,ICD-1 (1901-1910),"Dropsy, ascites, anasarca",,
1690.0,ICD-1 (1901-1910),Tumour,,
170.0,ICD-1 (1901-1910),Pyrexia (origin uncertain),,
1700.0,ICD-1 (1901-1910),Abscess,,
1710.0,ICD-1 (1901-1910),Haemorrhage,,
1720.0,ICD-1 (1901-1910),Sudden death (cause unascertained),,
1730.0,ICD-1 (1901-1910),Other ill-defined causes,,
1740.0,ICD-1 (1901-1910),Causes not specified,,
1741.0,ICD-1 (1901-1910),Other specified diseases,,
1750.0,ICD-1 (1901-1910),Mines and quarries,,
1760.0,ICD-1 (1901-1910),Vehicles and horses,,
1770.0,ICD-1 (1901-1910),"Ships, boats, docks (not drowning)",,
1780.0,ICD-1 (1901-1910),Building operations,,
1790.0,ICD-1 (1901-1910),Machinery,,
180.0,ICD-1 (1901-1910),Enteric fever,,
1800.0,ICD-1 (1901-1910),Weapons and instruments,,
1810.0,ICD-1 (1901-1910),Burns and scalds,,
1820.0,ICD-1 (1901-1910),"Poisons, poisonous vapours",,
1830.0,ICD-1 (1901-1910),Drowning,,
1840.0,ICD-1 (1901-1910),Suffocation,,
1850.0,ICD-1 (1901-1910),Falls,,
1860.0,ICD-1 (1901-1910),Weather agencies,,
1870.0,ICD-1 (1901-1910),Otherwise or not stated,,
1880.0,ICD-1 (1901-1910),Battle,,
1890.0,ICD-1 (1901-1910),Homicide,,
190.0,ICD-1 (1901-1910),Asiatic cholera,,
1900.0,ICD-1 (1901-1910),Suicide,,
1910.0,ICD-1 (1901-1910),Execution,,
20.0,ICD-1 (1901-1910),Small pox - not vaccinated,,
200.0,ICD-1 (1901-1910),Diarrhoea due to food,,
210.0,ICD-1 (1901-1910),"Infective enteritis, epidemic diarrhoea",,
220.0,ICD-1 (1901-1910),Diarrhoea (not otherwise defined),,
230.0,ICD-1 (1901-1910),Dysentry,,
240.0,ICD-1 (1901-1910),Tetanus,,
250.0,ICD-1 (1901-1910),Malaria,,
260.0,ICD-1 (1901-1910),"Rabies, hydrophobia",,
270.0,ICD-1 (1901-1910),Glanders,,
280.0,ICD-1 (1901-1910),Anthrax (splenic fever),,
290.0,ICD-1 (1901-1910),Syphilis,,
30.0,ICD-1 (1901-1910),Small pox - doubtful,,
300.0,ICD-1 (1901-1910),Gonorrhoea,,
310.0,ICD-1 (1901-1910),Phlegmasia alba dolens,,
320.0,ICD-1 (1901-1910),Puerperal septicaemia/septic intoxication,,
330.0,ICD-1 (1901-1910),Puerperal pyaemia,,
340.0,ICD-1 (1901-1910),Puerperal fever (not otherwise def.),,
350.0,ICD-1 (1901-1910),Infective endocarditis,,
360.0,ICD-1 (1901-1910),Pneumonia - lobar,,
370.0,ICD-1 (1901-1910),Pneumonia - epidemic,,
380.0,ICD-1 (1901-1910),Pneumonia - broncho,,
390.0,ICD-1 (1901-1910),Pneumonia - not def.,,
40.0,ICD-1 (1901-1910),Cow-pox and other effects of vaccination,,
400.0,ICD-1 (1901-1910),Erysipelas,,
410.0,ICD-1 (1901-1910),"Septicaemia, septic intoxication (not puerperal)",,
420.0,ICD-1 (1901-1910),Pyaemia (not puerperal),,
430.0,ICD-1 (1901-1910),"Phlegmon, carbuncle (not anthrax)",,
440.0,ICD-1 (1901-1910),Phagedaena,,
450.0,ICD-1 (1901-1910),Other infective processes,,
