icdcode,description
1a,Typhoid fever
1b,Paratyphoid fever
2,Typhus fever
3,Relapsing fever
4,Mediterranean fever
5,Malaria
6,Small pox
7,Measles
8,Scarlet fever
9,Whooping cough
10,Diphtheria
11a(1),Influenza with pulmonary and pneumonic complications
11a(2),Influenza with other pulmonary complications
11b(1),Influenza with non-pulmonary complications
11b(2),Influenza without stated complications
12,Miliary fever
13,Mumps
14,Asiatic cholera
15,Cholera nostras
16a,Amoebic dysentery
16b,Bacillary dysentery
16c,Other or unspecified dysentery
17a,Bubonic plague
17b,Pneumonic plague
17c,Septicaemic plague
17d,Plague not otherwise defined
18,Yellow fever
19,Spirochaetosis ictero-haemorrhagica
20,Leprosy
21,Erysipelas
22(1),Acute poliomyelitis
22(2),Acute polioencephalitis
23,Encephalitis lethargica
24,Meningococcal meningitis
25(1),German measles
25(2),Varicella
25(3),Other epidemic and endemic diseases
26,Glanders
27,Anthrax
28,Rabies
29,Tetanus
30(1),Actinomycosis
30(2),Other mycoses
31,Tuberculosis of the respiratory system
32,Tuberculosis of the central nervous system
33,Tuberculosis of the intestines and peritoneum
34,Tuberculosis of the vertebral column
35,Tuberculosis of the joints
36a,Tuberculosis of the skin and subcutaneous tissue
36b,Tuberculosis of the bones (vertebral column excepted)
36c,Tuberculosis of the lymphatic system (abdominal glands excepted)
36d,Tuberculosis of the genito-urinary system
36e,Tuberculosis of other sites
37a,Disseminated tuberculosis acute
37b,Disseminated tuberculosis chronic or unstated
38,Syphilis
39,Soft chancre
40(1),Gonococcal infection (ophthalmia excepted)
40(2),Gonorrhoeal or purulent ophthalmia
41*,"Purulent infection, septicaemia"
42(1),Vaccinia*
42(2),Other infectious diseases
43,Cancer of the buccal cavity
44,"Cancer of the pharynx, oesophagus, stomach, liver and annexa"
45,"Cancer of the peritoneum, intestines and rectum"
46,Cancer of the female genital organs
47,Cancer of the breast
48,Cancer of the skin
49,Cancer of other or unspecifed organs
50,Tumours not malignant (brain and female genital organs excepted)
51,Rheumatic fever
52(1),"Chronic rheumatism, chronic arthritis"
52(2),"Rheumatoid arthritis, Osteo-arthritis"
52(3),Gout
53,Scurvy
54,Pellagra
55,Beri-beri
56,Rickets
57,Diabetes
58a,Pernicious anaemia
58b,Other anaemias and chlorosis
59,Diseases of the pituitary gland
60a,Exophthalmic goitre
60b(1),Myxoedema
60b(2),Cretinism
60b(3),Other diseases of the thyroid gland
61(1),Tetany
61(2),Other diseases of the parathyroid gland
62,Diseases of the thymus
63,Diseases of the adrenals
64,Diseases of the spleen
65a,Leukaemia
65b,Lymphadenoma
66,Alcoholism (acute or chronic)
67(1),Occupational lead poisoning
67(2),Other chronic poisoning by mineral substances
68,Chronic poisoning by organic substances
69(1),Purpura
69(2),Haemophilia
69(3),Other general diseases
70(1),Cerebral abscess
70(2),Other encephalitis
71,Meningitis
72,Tabes dorsalis (locomotor ataxy)
73,Other diseases of the spinal cord
74a(1),Cerebral haemorrhage so returned
74a(2),Apoplexy (lesion unstated)
74b(1),Cerebral embolism
74b(2),Cerebral thrombosis
75a,Hemiplegia
75b,Other forms of paralysis
76,General paralysis of the insane
77,Other forms of insanity
78,Epilepsy
"79,80*",Convulsions (non-puerperal)
81,Chorea
82,Hysteria and neuritis
83,Cerebral softening
84(1),"Idiocy, Imbecility"
84(2),Cerebral tumour
84(3),Disseminated sclerosis
84(4),Paralysis agitans
84(5),Other diseases of the nervous system
85,Diseases of the eye and annexa
86(1),Diseases of the mastoid sinus
86(2),Diseases of the ear
87,Pericarditis
88(1),Malignant endocarditis
88(2),Other acute endocarditis
88(3),Acute myocarditis
89,Angina pectoris
90(1),Aortic valve disease
90(2),Mitral valve disease
90(3),Aortic and mitral valve disease
90(4),Other or unspecified valve disease
90(5),Fatty heart
90(6),Dilatation of heart (cause unspecified)
90(7),Other or unspecified myocardial disease
90(8),Disordered action of the heart
90(9),Heart disease (undefined)
91a,Aneurysm
91b(1),Arterio-sclerosis with cerebral vascular lesion
91b(2),Arterio-sclerosis without record of cerebral vascular lesion
91c,Other diseases of the arteries
92,Embolism and thrombosis (not cerebral)
93,"Diseases of the veins (varix ,haemorrhoids, phlebitis, etc.)"
94,"Diseases of the lymphatic system (lymphangitis, etc.)"
95,Haemorrhage without stated cause
96,Other diseases of the circulatory system
97(1),Diseases of the nose
97(2),Diseases of the accessory nasal sinuses
98(1),Laryngismus stridulus
98(2),Laryngitis
98(3),Other diseases of the larynx
99a,Acute bronchitis
99b,Chronic bronchitis
"99c,99d",Bronchitis not distinguished as acute or chronic
100,Broncho-pneumonia
101a,Lobar pneumonia
101b,Pneumonia (not otherwise specified)
102(1),Empyema
102(2),Other pleurisy
103,Congestion and haemorrhageic infarct of lung
104,Gangrene of the lung
105,Asthma
106,Pulmonary emphysema
107a,Chronic interstitial pneumonia incl. occupation diseases of lung
107b,Diseases of the mediastinum
107c,Other diseases of the respiratory system
108(1),Diseases of the teeth and gums
108(2),Ludwig's angina
108(3),Other diseases of the buccal cavity and annexa
109(1),"Tonsillitis, Adenoid vegetations"
109(2),Other diseases of the pharynx and tonsils
110,Diseases of the oesophagus
111a,Ulcer of the stomach
111b,Ulcer of the duodenum
112(1),Inflamation of the stomach
112(2),Other diseases of the stomach
"113,114(1)",Ulceration of the intestines
"113,114(2)",Colitis
"113,114(3)",Other diseases included under diarrhoea and enteritis
115,Ankylostomiasis
116a,Diseases due to cestodes (hydatids of the liver excepted)
116b,Diseases due to trematodes
116c,Diseases due to nematodes (other than ankylostoma)
116d,Diseases due to coccidia
116e,Diseases due to other specified intestinal parasites
116f,Diseases due to undefined intestinal parasites
117,Appendicitis
118a,Hernia
118b,Intestinal obstruction
119(1),Intestinal stasis
119(2),Other diseases of the intestines
120,Acute yellow atrophy of the liver
121,Hydatid tumour of the liver
122a,Cirrhosis of the liver returned as alcoholic
122b,Cirrhosis of the liver not returned as alcoholic
123,Biliary calculi
124,Other diseases of the liver
125,Diseases of the pancreas
126,Peritonitis without stated cause
127,Other diseases of the digestive system
128,Acute nephritis (including unspecified under 10 years of age)
129,Chronic nephritis (including unspecified over 10 years of age)
130,Chyluria
131,Other diseases of the kidney and annexa
132,Calculi of the urinary passages
133(1),Cystitis
133(2),Other diseases of the bladder
134a,Stricture of the urethra
134b,"Other diseases of the urethra, etc."
135,Diseases of the prostate
136,Non-venereal diseases of the male genital organs
137,"Cysts, and other tumours of the ovary not returned as malignant"
138(1),Salpingitis
138(2),Pelvic abscess in females
139,Tumours of the uterus not returned as malignant
140,Non-puerperal uterine haemorrhage
141(1),Other diseases of the uterus
141(2),Diseases of other female genital organs not under other headings
142,Non-puerperal diseases of the breast
143a,Abortion
143b,Ectopic gestation
143c,Other accidents of pregnancy
144,Puerperal haemorrhage
145,Other accidents of childbirth
146,Puerperal sepsis
147(1),Puerperal phlegmasia alba dolens not returned as septic
147(2),Puerperal embolism and sudden death
148,Puerperal albuminuria and convulsions
149,Childbirth not assignable to other headings (puerperal insanity)
150,Puerperal diseases of the breast
151(1),Senile gangrene
151(2),Other gangrene
152,"Carbuncle, boil"
153(1),Cellulitis
153(2),Acute abscess
154(1),"Ulcer, bedsore"
154(2),Eczema
154(3),Pemphigus
