icdcode,description1,description2
0000,Cholera,Classical
0001,Cholera,El Tor
0009,Cholera,Unspecified
0010,Typhoid fever,Typhoid fever
0020,Paratyphoid fever,Paratyphoid fever A
0021,Paratyphoid fever,Paratyphoid fever B
0022,Paratyphoid fever,Paratyphoid fever C
0029,Paratyphoid fever,"Paratyphoid fever, unspecified"
0030,Other salmonella infections,With food as vehicle of infection
0039,Other salmonella infections,Without mention of food as vehicle of infection
0040,Bacillary dysentery,Shiga
0041,Bacillary dysentery,Flexner
0042,Bacillary dysentery,Boyd
0043,Bacillary dysentery,Sonne
0044,Bacillary dysentery,Schmitz
0048,Bacillary dysentery,Other
0049,Bacillary dysentery,Unspecified
0050,Food poisoning (bacterial),Staphylococcal
0051,Food poisoning (bacterial),Botulism
0052,Food poisoning (bacterial),Due to other clostridia Clostridium perfringens (C. welchii)
0058,Food poisoning (bacterial),Other bacterial food poisoning
0059,Food poisoning (bacterial),"Food poisoning, unspecified"
0060,Amoebiasis,With liver abscess
0069,Amoebiasis,Without mention  of liver abscess
0070,Other protozoal intestinal diseases,Balantidiasis
0071,Other protozoal intestinal diseases,Giardiasis
0072,Other protozoal intestinal diseases,Coccidiosis
0079,Other protozoal intestinal diseases,Other and unspecified
0080,Enteritis due to other specified organism,Escherichia coli
0081,Enteritis due to other specified organism,Arizona
0082,Enteritis due to other specified organism,Other specified bacteria
0083,Enteritis due to other specified organism,"Bacterial enteritis, unspecified"
0088,Enteritis due to other specified organism,Enteritis due to specified virus
0089,Enteritis due to other specified organism,"Other organism, not elsewhere classified"
0090,Diarrhoeal disease,"Dysentery, unspecied"
0091,Diarrhoeal disease,Diarrhoea
0092,Diarrhoeal disease,Gastro-enteritis and colitis
0099,Diarrhoeal disease,Other
0100,Silicotuberculosis,Silicotuberculosis
0110,Pulmonary tuberculosis,Pulmonary tuberculosis
0120,Other respiratory tuberculosis,Primary tuberculous
0121,Other respiratory tuberculosis,Pleurisy specified as tuberculous
0122,Other respiratory tuberculosis,Pleurisy with effusion without mention of cause
0123,Other respiratory tuberculosis,Tuberculous laryngitis
0129,Other respiratory tuberculosis,Other
0130,Tuberculosis of meninges and central nervous system,Tuberculous meningitis
0139,Tuberculosis of meninges and central nervous system,Other
0140,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands"
0150,Tuberculosis of bones and joints,Vertebral column
0151,Tuberculosis of bones and joints,Hip
0152,Tuberculosis of bones and joints,Knee
0158,Tuberculosis of bones and joints,Other
0159,Tuberculosis of bones and joints,Unspecified
0160,Tuberculosis of genito-urinary system,Tuberculosis of genito-urinary system
0170,Tuberculosis of other organs,Skin and subcutaneous cellular tissue
0171,Tuberculosis of other organs,Peripheral lymphatic glands
0172,Tuberculosis of other organs,Eye
0173,Tuberculosis of other organs,Ear
0179,Tuberculosis of other organs,Other forms of tuberculosis
0180,Disseminated tuberculosis,Acute miliary tuberculosis specified as non-pulmonary
0181,Disseminated tuberculosis,Acute miliary tuberculosis unspecified
0189,Disseminated tuberculosis,Other
0190,Late effects of tuberculosis,Late effects of respiratory tuberculosis
0191,Late effects of tuberculosis,Central nervous system
0192,Late effects of tuberculosis,Genito-urinary sytem
0193,Late effects of tuberculosis,Bones and joints
0199,Late effects of tuberculosis,Other specified organs
0200,Plague,Bubonic
0201,Plague,Pulmonic
0209,Plague,Unspecified
0210,Tularaemia,Tularaemia
0220,Anthrax,Anthrax
0230,Brucellosis,Brucella melitensis
0231,Brucellosis,Brucella abortus
0232,Brucellosis,Brucella suis
0239,Brucellosis,Unspecified
0240,Glanders,Glanders
0250,Melioidosis,Melioidosis
0260,Rat-bite fever,Spirillum minus
0261,Rat-bite fever,Streptobacillus moniliformis
0269,Rat-bite fever,Unspecified
0270,Other zoonotic bacterial diseases,Listeriosis
0271,Other zoonotic bacterial diseases,Erysipelothrix infection
0279,Other zoonotic bacterial diseases,Other
0300,Leprosy,Lepromatous (type L)
0301,Leprosy,Tuberculoid (type T)
0302,Leprosy,Indeterminate (group I)
0303,Leprosy,Borderline (group B)
0309,Leprosy,Other and unspecified
0310,Other diseases due to mycobacteria,Other diseases due to mycobacteria
0320,Diphtheria,Diphtheria
0330,Whooping cough,Bordetella pertussis (B. pertussis)
0331,Whooping cough,Bordetella parapertussis (B. parapertussis)
0339,Whooping cough,Other and unspecified
0340,Streptococcal sore throat and scarlet fever,Streptococcal sore throat
0341,Streptococcal sore throat and scarlet fever,Scarlet fever
0350,Erysipelas,Erysipelas
0360,Meningococcal infection,Meningococcal meningitis
0361,Meningococcal infection,Meningococcaemia without mention of meningitis
0368,Meningococcal infection,Other forms of meningococcal infection
0369,Meningococcal infection,Unspecified
0370,Tetanus,Tetanus
0380,Septicaemia,Streptococcal
0381,Septicaemia,Staphylococcal
0382,Septicaemia,Pneumococcal
0388,Septicaemia,Other bacterial
0389,Septicaemia,Unspecified
0390,Other bacterial diseases,Gas gangrene
0391,Other bacterial diseases,Rhinoscleroma
0399,Other bacterial diseases,Other bacterial diseases
0400,Acute paralytic poliomyelitis specified as bulbar,Acute paralytic poliomyelitis specified as bulbar
0410,Acute poliomyelitis with other paralysis,Acute poliomyelitis with other paralysis
0420,Acute non-paralytic poliomyelitis,Acute non-paralytic poliomyelitis
0430,"Acute poliomyelitis, unspecified","Acute poliomyelitis, unspecified"
0440,Late effects of acute poliomyelitis,Late effects of acute poliomyelitis
0450,Aseptic meningitis due to enterovirus,Coxsackie virus
0451,Aseptic meningitis due to enterovirus,ECHO virus
0459,Aseptic meningitis due to enterovirus,"Aseptic meningitis, unspecified"
0460,Other enterovirus diseases of central nervous system,Other enterovirus diseases of central nervous system
0500,Smallpox,Variola major
0501,Smallpox,Variola minor (alastrim)
0509,Smallpox,unspecified
0510,Cowpox,Cowpox
0520,Chickenpox,Chickenpox
0530,Herpes zoster,Herpes zoster
0540,Herpes simplex,Herpes simplex
0550,Measles,Measles
0560,Rubella,Rubella
0570,Other viral exanthem,Erythema infectiosum
0571,Other viral exanthem,Exanthema subitum
0578,Other viral exanthem,Other
0579,Other viral exanthem,Unspecified
0600,Yellow fever,Sylvatic
0601,Yellow fever,Urban
0609,Yellow fever,Unspecified
0610,Dengue,Dengue
0620,Mosquito-borne viral encephalitis,Japanese encephalitis
0621,Mosquito-borne viral encephalitis,Western equine encephalitis
0622,Mosquito-borne viral encephalitis,Eastern equine encephalitis
0623,Mosquito-borne viral encephalitis,St. Louis encephalitis
0624,Mosquito-borne viral encephalitis,Murray Valley encephalitis
0629,Mosquito-borne viral encephalitis,Other and unspecified
0630,Tick-borne viral encephalitis,Russian spring-summer (taiga) encephalitis
0631,Tick-borne viral encephalitis,Louping ill
0632,Tick-borne viral encephalitis,Central European encephalitis
0639,Tick-borne viral encephalitis,Other and unspecified
0640,Viral encephalitis transmitted by other arthropods,Viral encephalitis transmitted by other arthropods
0650,"Viral encephalitis, unspecified","Viral encephalitis, unspecified"
0660,Late effects of viral encephalitis,Late effects of viral encephalitis
0670,Arthropod-borne haemorrhagic fever,Crimean haemorrhagic fever (CHF congo virus)
0671,Arthropod-borne haemorrhagic fever,Omsk haemorrhagic fever
0672,Arthropod-borne haemorrhagic fever,Kyasanur Forest disease
0673,Arthropod-borne haemorrhagic fever,Other tick-borne haemorrhagic fever
0674,Arthropod-borne haemorrhagic fever,Mosquito-borne haemorrhagic fever
0675,Arthropod-borne haemorrhagic fever,Haemorrhagic nephroso-nephritis
0679,Arthropod-borne haemorrhagic fever,Other and unspecified
0680,Other arthropod-borne viral diseases,Phlebotomus fever
0681,Other arthropod-borne viral diseases,Tick-borne fever
0682,Other arthropod-borne viral diseases,Mosquito-borne fever
0689,Other arthropod-borne viral diseases,Other
0700,Infectious hepatitis,Infectious hepatitis
0710,Rabies,Rabies
0720,Mumps,Mumps
0730,Psittacosis,Psittacosis
0740,Specific diseases due to cocksackie virus,Herpangina
0741,Specific diseases due to cocksackie virus,Epidemic pleurodynia (Bornholm disease)
0742,Specific diseases due to cocksackie virus,Coxsackie myocarditis
0749,Specific diseases due to cocksackie virus,Other
0750,Infectious mononucleosis,Infectious mononucleosis
0760,"Trachoma, active","Trachoma, active"
0770,Late effects of trachoma,Late effects of trachoma
0780,Other viral diseases of the conjunctiva,Inclusion conjunctivitis
0781,Other viral diseases of the conjunctiva,Epidemic keratoconjunctivitis
0782,Other viral diseases of the conjunctiva,Acute adenoviral follicular conjunctivitis
0788,Other viral diseases of the conjunctiva,Other
0789,Other viral diseases of the conjunctiva,Unspecified
0790,Other viral diseases,Molluscum contagiosum
0791,Other viral diseases,Viral warts
