term,weight,match_type,source,notes
infection,4,token,core,
infectious,5,token,core,
epidemic,6,token,core,
pandemic,6,token,core,
contagious,6,token,core,
communicable,6,token,core,
streptococc,8,substring,organism,
staphylococc,8,substring,organism,
pneumococc,8,substring,organism,
mycobacter,9,substring,organism,
clostrid,8,substring,organism,
bordetella,9,substring,organism,
ricketts,9,substring,organism,
listeria,8,token,organism,
tuberculosis,9,token,disease,
typhus,8,token,disease,
cholera,9,token,disease,
diphtheria,9,token,disease,
tetanus,9,token,disease,
plague,9,token,disease,
smallpox,9,token,disease,
variola,9,token,disease,
measles,9,token,disease,
rubella,9,token,disease,
mumps,9,token,disease,
whooping cough,9,phrase,disease,
pertussis,9,token,disease,
erysipelas,8,token,disease,
septicaemia,8,token,disease,
septicemia,8,token,disease,
pyaemia,8,token,disease,
malaria,9,token,disease,
leishmaniasis,9,token,disease,
trypanosom,9,substring,disease,
rabies,9,token,disease,
yellow fever,9,phrase,disease,
haemorrhagic fever,9,phrase,disease,
arthropod borne,8,phrase,vector,
venereal,7,token,transmission,
poliomyel,9,substring,disease,Poliomyelitis
infectious hepatitis,9,phrase,disease,Hepatitis of infectious origin
not infective,-50,phrase,exclusion,Explicit exclusion of infectious causes
not diphtheritic,-50,phrase,exclusion,Explicit exclusion of diphtheria
not returned as infective,-50,phrase,exclusion,Explicit exclusion when marked non-infective

