term,weight,match_type,source,notes
chronic,5,token,core,
degeneration,6,token,core,
carcinoma,8,token,disease,
cancer,8,token,disease,
sarcoma,8,token,disease,
malignant neoplasm,8,phrase,disease,Malignant tumor
malignant,8,token,disease,Malignant neoplasm
leukaemia,8,token,disease,Blood cancer (preferred spelling)
lymphosarcoma,8,token,disease,Malignant lymphoma
hodgkin's disease,8,phrase,disease,Hodgkin lymphoma
hodgkin's,8,token,disease,Hodgkin lymphoma
reticulosarcoma,8,token,disease,Malignant reticulo-endothelial neoplasm
diabetes,8,token,disease,
cirrhosis,7,token,disease,
arthritis,6,token,disease,
lupus,7,token,disease,Systemic lupus erythematosus/autoimmune disease
gout,6,token,disease,
"diseases of bones",6,phrase,disease,Bone diseases
"diseases of joints",6,phrase,disease,Joint diseases
"Diseases of .*",7,regex,disease,Catch-all for diseases of specific organs/systems
Other diseases of .*,7,regex,chronic,Catch-all pattern for chronic disease descriptions
hernia,6,token,disease,
intestinal obstruction,7,phrase,disease,
"intestinal stasis",6,phrase,disease,Reduced intestinal motility/impaired bowel movement
gall bladder,6,phrase,disease,
digestive system,5,phrase,disease,
diseases of oesophagus,6,phrase,disease,Oesophageal diseases
spleen,6,token,disease,
lymphatic system,6,phrase,disease,
supra renal capsules,6,phrase,disease,
diseases of eyes & annexa,6,phrase,disease,Eye and adnexa diseases
thyroid body,6,phrase,disease,Thyroid gland reference
diseases of thyroid body,7,phrase,disease,Thyroid diseases
endocrine glands (except thyroid) and related structures,7,phrase,disease,Endocrine gland disorders
calculus,6,token,disease,
tumour (not malignant),6,phrase,disease,
tumour (non malignant),6,phrase,disease,
angioma,6,token,disease,Benign vascular tumor
adenoma,6,token,disease,Benign glandular tumor
benign neoplasm,6,phrase,disease,Non-malignant tumor
"other tumours (situation undefined)",6,phrase,disease,Tumors of undefined nature/location
amputations,6,token,disease,History of limb amputation
ulceration,6,token,disease,
varicose veins,6,phrase,disease,
varix,6,token,disease,Enlarged blood vessel/varicose vein
embolism,7,token,disease,
thrombosis,7,token,disease,
peritonitis (not puerperal),7,phrase,disease,
phlebitis,6,token,disease,
"Anaemia, leucocythaemia",7,phrase,disease,Blood disorders
