version,code,description,category_code,category_name,classification_confidence
ICD-4,1,Typhoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-4,2,Paratyphoid fevers,L1_01,Infectious and Communicable Diseases,low
ICD-4,3,Typhus fever,L1_01,Infectious and Communicable Diseases,low
ICD-4,4,Relapsing fever (Spirillum obermeieri),L1_01,Infectious and Communicable Diseases,low
ICD-4,5,Undulant fever,L1_01,Infectious and Communicable Diseases,low
ICD-4,6,Small-pox,L1_01,Infectious and Communicable Diseases,low
ICD-4,7,Measles,L1_01,Infectious and Communicable Diseases,low
ICD-4,8,Scarlet fever,L1_01,Infectious and Communicable Diseases,low
ICD-4,9,Whooping cough,L1_01,Infectious and Communicable Diseases,low
ICD-4,10,Diphtheria,L1_01,Infectious and Communicable Diseases,low
ICD-4,11a(1),"Influenza with respiratory complications, with pneumonic complications",L1_06,Respiratory and Environmental Disease,medium
ICD-4,11a(2),"Influenza with respiratory complications, with other respiratory complications",L1_06,Respiratory and Environmental Disease,medium
ICD-4,11b(1),"Influenza without respiratory complications, with non-respiratory complications",L1_06,Respiratory and Environmental Disease,medium
ICD-4,11b(2),"Influenza without respiratory complications, without stated complications",L1_06,Respiratory and Environmental Disease,medium
ICD-4,12,Cholera,L1_01,Infectious and Communicable Diseases,low
ICD-4,13a,Amoebic dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-4,13b,Bacillary dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-4,13c,Other or unspecified dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-4,14,Plague,L1_01,Infectious and Communicable Diseases,low
ICD-4,15,Erysipelas,L1_01,Infectious and Communicable Diseases,low
ICD-4,16(1),Acute poliomyelitis,L1_01,Infectious and Communicable Diseases,low
ICD-4,16(2),Acute polioencephalitis,L1_01,Infectious and Communicable Diseases,low
ICD-4,17,Encephalitis lethargica,L1_01,Infectious and Communicable Diseases,low
ICD-4,18,Cerebro-spinal fever,L1_01,Infectious and Communicable Diseases,low
ICD-4,19,Glanders,L1_01,Infectious and Communicable Diseases,low
ICD-4,20,Anthrax,L1_01,Infectious and Communicable Diseases,low
ICD-4,21,Rabies,L1_01,Infectious and Communicable Diseases,low
ICD-4,22,Tetanus,L1_01,Infectious and Communicable Diseases,low
ICD-4,23,Tuberculosis of the respiratory system,L1_06,Respiratory and Environmental Disease,medium
ICD-4,24,Tuberculosis of the central nervous system,L1_01,Infectious and Communicable Diseases,low
ICD-4,25,Tuberculosis of the intestines and peritoneum,L1_01,Infectious and Communicable Diseases,low
ICD-4,26,Tuberculosis of the vertebral column,L1_01,Infectious and Communicable Diseases,low
ICD-4,27,Tuberculosis of the other bones and joints,L1_01,Infectious and Communicable Diseases,low
ICD-4,28,Tuberculosis of the skin and subcutaneous tissues,L1_01,Infectious and Communicable Diseases,low
ICD-4,29,Tb. of the lymphatic system (abdominal and bronchial glands excepted),L1_05,Chronic Non-Communicable Diseases,low
ICD-4,30,Tuberculosis of the genito-urinary system,L1_01,Infectious and Communicable Diseases,low
ICD-4,31(1),Tuberculosis of the adrenals,L1_01,Infectious and Communicable Diseases,low
ICD-4,31(2),Tuberculosis of other sites,L1_01,Infectious and Communicable Diseases,low
ICD-4,32a,Acute disseminated tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-4,32b,Chronic disseminated tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-4,32c,Disseminated tuberculosis not distinguished as acute or chronic,L1_01,Infectious and Communicable Diseases,low
ICD-4,33,Leprosy,L1_01,Infectious and Communicable Diseases,low
ICD-4,34a,Congenital syphilis,L1_03,Congenital and Developmental Conditions,low
