year,sex,age_group,deaths,population_age_group,mortality_rate_per_100k_age_group_population,mortality_rate_per_100k,denominator_label
1901,Female,0-4,92166,1862700,4947.978740537929,4947.978740537929,age group population
1901,Male,0-4,109581,1857300,5900.016152479406,5900.016152479406,age group population
1901,Female,5-14,11143,3423400,325.4951218087282,325.4951218087282,age group population
1901,Male,5-14,10848,3414400,317.71321462043113,317.71321462043113,age group population
1901,Female,15-24,11618,3288500,353.2917743652121,353.2917743652121,age group population
1901,Male,15-24,12475,3082000,404.76963011031796,404.76963011031796,age group population
1901,Female,25-34,14767,2778300,531.5120757297627,531.5120757297627,age group population
1901,Male,25-34,15550,2494200,623.44639563788,623.44639563788,age group population
1901,Female,35-44,18073,2074600,871.1558854718983,871.1558854718983,age group population
1901,Male,35-44,20545,1941600,1058.1479192418624,1058.1479192418624,age group population
1901,Female,45-54,20943,1513800,1383.4720570749107,1383.4720570749107,age group population
1901,Male,45-54,25295,1403300,1802.5368773605073,1802.5368773605073,age group population
1901,Female,55-64,27575,1039500,2652.717652717653,2652.717652717653,age group population
1901,Male,55-64,30560,912200,3350.1425126068843,3350.1425126068843,age group population
1901,Female,65-74,34003,601900,5649.277288586144,5649.277288586144,age group population
1901,Male,65-74,32603,480800,6780.990016638935,6780.990016638935,age group population
1901,Female,75-84,28072,229000,12258.515283842795,12258.515283842795,age group population
1901,Male,75-84,23161,165700,13977.670488835245,13977.670488835245,age group population
1901,Female,85+,7607,30800,24698.051948051947,24698.051948051947,age group population
1901,Male,85+,5000,18100,27624.309392265193,27624.309392265193,age group population
1902,Female,0-4,84039,1868100,4498.634976714308,4498.634976714308,age group population
1902,Male,0-4,100985,1865000,5414.745308310992,5414.745308310992,age group population
1902,Female,5-14,11207,3440900,325.69967159754714,325.69967159754714,age group population
1902,Male,5-14,10635,3432000,309.8776223776224,309.8776223776224,age group population
1902,Female,15-24,11475,3295000,348.2549317147193,348.2549317147193,age group population
1902,Male,15-24,12070,3089400,390.69074901275326,390.69074901275326,age group population
1902,Female,25-34,14873,2812200,528.8741910248204,528.8741910248204,age group population
1902,Male,25-34,15550,2527200,615.3054764165876,615.3054764165876,age group population
1902,Female,35-44,17730,2117200,837.4267901001322,837.4267901001322,age group population
1902,Male,35-44,20530,1980300,1036.7116093521183,1036.7116093521183,age group population
1902,Female,45-54,20748,1545100,1342.8257070739758,1342.8257070739758,age group population
1902,Male,45-54,25435,1431800,1776.435256320715,1776.435256320715,age group population
1902,Female,55-64,27391,1056600,2592.371758470566,2592.371758470566,age group population
1902,Male,55-64,30965,929100,3332.7951781293727,3332.7951781293727,age group population
1902,Female,65-74,34367,617200,5568.211276733636,5568.211276733636,age group population
1902,Male,65-74,32852,492800,6666.396103896103,6666.396103896103,age group population
1902,Female,75-84,28465,233100,12211.497211497212,12211.497211497212,age group population
1902,Male,75-84,23188,167500,13843.58208955224,13843.58208955224,age group population
1902,Female,85+,8027,31800,25242.138364779876,25242.138364779876,age group population
1902,Male,85+,5006,18500,27059.45945945946,27059.45945945946,age group population
1903,Female,0-4,81968,1873700,4374.659764103111,4374.659764103111,age group population
1903,Male,0-4,98372,1872900,5252.389342730525,5252.389342730525,age group population
1903,Female,5-14,9927,3458500,287.031950267457,287.031950267457,age group population
1903,Male,5-14,9504,3449900,275.48624597814427,275.48624597814427,age group population
1903,Female,15-24,10577,3301500,320.3695290019688,320.3695290019688,age group population
1903,Male,15-24,11075,3096900,357.61568019632534,357.61568019632534,age group population
1903,Female,25-34,14065,2846500,494.1155805375022,494.1155805375022,age group population
1903,Male,25-34,14902,2560700,581.9502479790682,581.9502479790682,age group population
1903,Female,35-44,17166,2160300,794.6118594639632,794.6118594639632,age group population
1903,Male,35-44,18980,2019400,939.8831336040408,939.8831336040408,age group population
1903,Female,45-54,20134,1576800,1276.8899036022324,1276.8899036022324,age group population
1903,Male,45-54,24193,1460600,1656.3740928385594,1656.3740928385594,age group population
1903,Female,55-64,26171,1073700,2437.4592530502005,2437.4592530502005,age group population
1903,Male,55-64,29870,946200,3156.8378778270976,3156.8378778270976,age group population
1903,Female,65-74,33445,632600,5286.911160290863,5286.911160290863,age group population
1903,Male,65-74,31973,504900,6332.54109724698,6332.54109724698,age group population
