year,deaths,population_total,mortality_rate_per_100k_total_population,mortality_rate_per_100k,denominator_label
1901,551585,32612100,1691.3507563143742,1691.3507563143742,total population
1902,535538,32950800,1625.2655474222174,1625.2655474222174,total population
1903,514628,33293400,1545.7357914781908,1545.7357914781908,total population
1904,549784,33731300,1629.8927109242752,1629.8927109242752,total population
1905,520031,33988900,1530.0024419737033,1530.0024419737033,total population
1906,531281,34342000,1547.0298759536427,1547.0298759536427,total population
1907,524221,34699000,1510.766880889939,1510.766880889939,total population
1908,520456,35155400,1480.4439716231361,1480.4439716231361,total population
1909,518003,35423700,1462.3063090529788,1462.3063090529788,total population
1910,483247,35792000,1350.153665623603,1350.153665623603,total population
1911,527810,36136000,1460.620987381005,1460.620987381005,total population
1912,486939,36327000,1340.4327359815013,1340.4327359815013,total population
1913,504975,36574000,1380.6939355826544,1380.6939355826544,total population
1914,516742,36967000,1397.8467281629562,1397.8467281629562,total population
1915,562253,35284000,1593.5069719986398,1593.5069719986398,total population
1916,508217,34642000,1467.0544425841463,1467.0544425841463,total population
1917,498922,34197000,1458.964236628944,1458.964236628944,total population
1918,611861,34024000,1798.3217728662119,1798.3217728662119,total population
1919,504203,35427000,1423.2167555819008,1423.2167555819008,total population
1920,466130,37247000,1251.4564931403872,1251.4564931403872,total population
1921,458629,37932000,1209.0820415480332,1209.0820415480332,total population
1922,486780,38205000,1274.126423243031,1274.126423243031,total population
1923,444785,38449000,1156.8181227080029,1156.8181227080029,total population
1924,473235,38795000,1219.8350302874082,1219.8350302874082,total population
1925,472841,38935000,1214.4368819827919,1214.4368819827919,total population
1926,453804,39114000,1160.208620954134,1160.208620954134,total population
1927,484609,39286000,1233.5412106093772,1233.5412106093772,total population
1928,460389,39483000,1166.0436137071652,1166.0436137071652,total population
1929,532492,39600000,1344.6767676767677,1344.6767676767677,total population
1930,455427,39801000,1144.2601944674757,1144.2601944674757,total population
1931,491630,39988000,1229.443833149945,1229.443833149945,total population
1932,484129,40201000,1204.2710380338797,1204.2710380338797,total population
1933,496465,40349500,1230.4117770976097,1230.4117770976097,total population
1934,477075,40467000,1178.923567351175,1178.923567351175,total population
1935,477401,40645000,1174.5626768360191,1174.5626768360191,total population
1936,495764,40839600,1213.9296173321973,1213.9296173321973,total population
1937,509574,41031000,1241.9243986254296,1241.9243986254296,total population
1938,478829,41215000,1161.7833313114156,1161.7833313114156,total population
1939,498968,41246000,1209.7367017407748,1209.7367017407748,total population
1940,572644,39889000,1435.593772719296,1435.593772719296,total population
1941,524434,38743000,1353.6225898872053,1353.6225898872053,total population
1942,470657,38243000,1230.7010433281907,1230.7010433281907,total population
1943,491531,37818000,1299.7276429213603,1299.7276429213603,total population
1944,481050,37785000,1273.1242556570069,1273.1242556570069,total population
1945,481274,37916000,1269.3163835847663,1269.3163835847663,total population
1946,489054,40595000,1204.7148663628525,1204.7148663628525,total population
1947,515591,41786000,1233.8845546355237,1233.8845546355237,total population
1948,468645,42750000,1096.2456140350878,1096.2456140350878,total population
1949,509973,43100000,1183.232018561485,1183.232018561485,total population
1950,510301,43830000,1164.2733287702488,1164.2733287702488,total population
1951,549380,43815000,1253.862832363346,1253.862832363346,total population
1952,497484,43955000,1131.8029803207826,1131.8029803207826,total population
1953,503529,44109000,1141.5561450044208,1141.5561450044208,total population
1954,501896,44274000,1133.6134074174458,1133.6134074174458,total population
1955,518864,44441000,1167.534483922504,1167.534483922504,total population
1956,521331,44667000,1167.1502451474241,1167.1502451474241,total population
1957,514870,44907000,1146.525040639544,1146.525040639544,total population
1958,526843,45109000,1167.9332284023144,1167.9332284023144,total population
1959,527643,45386000,1162.5677521702728,1162.5677521702728,total population
1960,526254,45775000,1149.653741125068,1149.653741125068,total population
