year,total_deaths,total_population,total_deaths_per_100k,drug_deaths,drug_deaths_per_100k
1901,551585,32612100.0,1691.3507563143742,0,0.0
1902,535538,32950800.0,1625.2655474222174,0,0.0
1903,514628,33293400.0,1545.7357914781908,0,0.0
1904,549784,33731300.0,1629.8927109242752,0,0.0
1905,520031,33988900.0,1530.0024419737033,0,0.0
1906,531281,34342000.0,1547.0298759536427,0,0.0
1907,524221,34699000.0,1510.766880889939,0,0.0
1908,520456,35155400.0,1480.4439716231361,0,0.0
1909,518003,35423700.0,1462.3063090529788,0,0.0
1910,483247,35792000.0,1350.153665623603,0,0.0
1911,527810,36136000.0,1460.620987381005,0,0.0
1912,486939,36327000.0,1340.4327359815013,0,0.0
1913,504975,36574000.0,1380.6939355826544,0,0.0
1914,516742,36967000.0,1397.8467281629562,0,0.0
1915,562253,35284000.0,1593.5069719986398,0,0.0
1921,458629,37932000.0,1209.0820415480332,0,0.0
1922,486780,38205000.0,1274.126423243031,0,0.0
1923,444785,38449000.0,1156.8181227080029,0,0.0
1924,473235,38795000.0,1219.8350302874082,0,0.0
1925,472841,38935000.0,1214.4368819827919,0,0.0
1931,491630,39988000.0,1229.443833149945,0,0.0
1932,484129,40201000.0,1204.2710380338797,0,0.0
1933,496465,40349500.0,1230.4117770976097,0,0.0
1934,477075,40467000.0,1178.923567351175,0,0.0
1935,477401,40645000.0,1174.5626768360191,0,0.0
1940,572644,39889000.0,1435.593772719296,0,0.0
1941,524434,38743000.0,1353.6225898872053,0,0.0
1942,470657,38243000.0,1230.7010433281907,0,0.0
1943,491531,37818000.0,1299.7276429213603,0,0.0
1944,481050,37785000.0,1273.1242556570069,0,0.0
1950,510301,43830000.0,1164.2733287702488,0,0.0
1951,549380,43815000.0,1253.862832363346,0,0.0
1952,497484,43955000.0,1131.8029803207826,0,0.0
1953,503529,44109000.0,1141.5561450044208,0,0.0
1958,526843,45109000.0,1167.9332284023144,0,0.0
1959,527643,45386000.0,1162.5677521702728,0,0.0
1960,526254,45775000.0,1149.653741125068,0,0.0
1961,551758,46196200.0,1194.3796242981023,0,0.0
1968,576754,48510700.0,1188.9212070739031,0,0.0
1969,579378,48738200.0,1188.7554320840738,0,0.0
1970,575194,48891300.0,1176.4751602023264,0,0.0
1971,567262,49152000.0,1154.0974934895833,0,0.0
1979,593019,49508200.0,1197.8197551112746,0,0.0
1980,581385,49603000.0,1172.0762857085256,0,0.0
1981,577890,49634300.0,1164.2956584458732,0,0.0
1985,590734,49860700.0,1184.7687657814672,0,0.0
1986,581203,49999100.0,1162.4269236846262,0,0.0
1987,566994,50122900.0,1131.2074919847016,0,0.0
1994,551780,51116300.0,1079.459976563249,0,0.0
1995,565902,51272000.0,1103.7252301451083,0,0.0
1996,563007,51410300.0,1095.1249068766376,0,0.0
2001,532498,52359978.0,1016.9943157730127,1986,3.7929733278344773
2002,535356,52602143.0,1017.7456078167766,1803,3.4276170079230424
2003,539151,52863238.0,1019.8977974069617,1673,3.1647701943645603
2004,514250,53152022.0,967.5078776871368,1829,3.4410732295377207
2005,512993,53575343.0,957.5169682068112,1749,3.2645614606704436
2006,502599,53950854.0,931.5867363285853,1630,3.0212682082845252
2007,504052,54387392.0,926.7809715898861,1717,3.1569816769298296
2008,509090,54841720.0,928.2896305951017,1905,3.4736328474015767
2009,491348,55235253.0,889.5550817880747,1999,3.6190655268656053
2010,493242,55692423.0,885.6536911672887,1964,3.5265120355779813
2011,484367,56170927.0,862.3090731616375,2422,4.311839112073048
2012,499331,56567796.0,882.7124889221423,2376,4.200269708227628
2013,506790,56948229.0,889.9135388389338,2699,4.739392334746705
2014,501424,57408654.0,873.4292916883228,3102,5.403366537734886
2015,529655,57885413.0,915.0059964157119,3401,5.8754007680656954
2016,525048,58381217.0,899.3440475898267,3444,5.899157600637205
