year,total_deaths
1901,551585
1902,535538
1903,514628
1904,549784
1905,520031
1906,531281
1907,524221
1908,520456
1909,518003
1910,483247
1911,527810
1912,486939
1913,504975
1914,516742
1915,562253
1921,458629
1922,486780
1923,444785
1924,473235
1925,472841
1931,491630
1932,484129
1933,496465
1934,477075
1935,477401
1940,572644
1941,524434
1942,470657
1943,491531
1944,481050
1950,510301
1951,549380
1952,497484
1953,503529
1958,526843
1959,527643
1960,526254
1961,551758
1968,576754
1969,579378
1970,575194
1971,567262
1979,593019
1980,581385
1981,577890
1985,590734
1986,581203
1987,566994
1994,551780
1995,565902
1996,563007
2001,532498
2002,535356
2003,539151
2004,514250
2005,512993
2006,502599
2007,504052
2008,509090
2009,491348
2010,493242
2011,484367
2012,499331
2013,506790
2014,501424
2015,529655
2016,525048
2017,533253
