parliament_number,parliament_start_date,parliament_end_date,parliament_duration_days,num_secretaries_of_state,num_departments,median_tenure_days,min_tenure_days,max_tenure_days,appointments_per_year,media_era_flag
31,1945-07-05,1950-02-23,1695,0,0,,,,0.0,pre_radio
32,1950-02-23,1951-10-25,610,0,0,,,,0.0,pre_radio
33,1951-10-25,1955-05-26,1310,0,0,,,,0.0,pre_radio
34,1955-05-26,1959-09-08,1567,0,0,,,,0.0,pre_radio
35,1959-09-08,1964-03-25,1661,3,2,619.0,619.0,626.0,0.6596929560505719,pre_radio
36,1964-03-25,1966-03-31,737,5,5,530.0,8.0,532.0,2.477951153324288,pre_radio
37,1966-03-31,1970-06-18,1541,7,7,415.0,134.0,1541.0,1.65914990266061,pre_radio
38,1970-06-18,1974-02-28,1352,14,12,481.0,1.0,1350.0,3.782174556213018,pre_radio
39,1974-02-28,1974-10-10,225,17,12,154.0,5.0,221.0,27.596666666666664,pre_radio
40,1974-10-10,1979-05-03,1667,17,15,966.0,174.0,1667.0,3.7248050389922014,pre_radio
41,1979-05-03,1983-06-09,1499,31,15,611.0,1.0,1497.0,7.553535690460308,radio
42,1983-06-09,1987-06-11,1464,20,13,504.0,2.0,1464.0,4.989754098360656,radio
43,1987-06-11,1992-04-09,1765,24,14,671.5,2.0,1267.0,4.9665722379603405,radio
44,1992-04-09,1997-04-17,1835,28,17,419.0,1.0,1834.0,5.573297002724796,tv
45,1997-04-17,2001-06-07,1513,34,20,275.0,15.0,1784.0,8.207865168539326,tv
46,2001-06-07,2005-05-05,1429,23,20,694.0,1.0,1429.0,5.878761371588523,rolling_news
47,2005-05-05,2010-05-06,1828,33,25,420.0,2.0,1330.0,6.593681619256017,rolling_news
48,2010-05-06,2010-05-18,13,32,18,4.0,1.0,7.0,899.076923076923,social_clip
55,2010-05-18,2015-03-30,1778,32,21,760.5,12.0,1778.0,6.573678290213723,social_clip
56,2015-05-18,2017-05-03,717,29,22,417.0,118.0,717.0,14.773012552301255,social_clip
57,2017-06-13,2019-11-05,876,41,23,200.5,21.0,876.0,17.09503424657534,social_clip
58,2019-12-17,2024-05-30,1627,71,36,343.0,3.0,1627.0,15.93899815611555,social_clip
59,2024-07-09,2026-01-15,556,26,21,426.0,1.0,556.0,17.080035971223023,social_clip
