Post,Count,First Year Used,Last Year Used,category,is_senior,match_rule,reason
Parliamentary and Financial Secretary to the Admiralty,1,1950,1950,ambiguous,False,regex:\bfinancial secretary\b,Often Cabinet-adjacent but not consistently senior; review/override.
Civil Lord of the Admiralty,1,1957,1957,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Ministry of Labour),1,1959,1959,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Parliamentary-Under Secretary (Colonial Office) (The Colonies),1,1960,1960,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Ministry of Housing and Local Government) and for Welsh Affairs,1,1962,1962,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Foreign Office),1,1963,1963,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Board of Trade) (Shipping),1,1964,1964,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Defence) (Air Services),1,1964,1964,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Defence) (Army),1,1964,1964,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Commonwealth Office),1,1966,1966,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Foreign and Commonwealth Office) (Disarmament),1,1967,1967,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Commonwealth Relations Office),1,1967,1967,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Ministry of Social Security),1,1967,1967,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Ministry of Power),1,1968,1968,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Economic Affairs),1,1968,1968,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Ministry of Housing and Local Government) (Sport),1,1969,1969,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Ministry of Defence) (Defence Administration),1,1969,1969,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Environment) (Transport Industries),1,1970,1970,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Ministry of Housing and Local Government),1,1970,1970,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Employment and Productivity),1,1970,1970,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Aerospace & Shipping) (Trade and Industry),1,1972,1972,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Trade & Consumer Affairs),1,1972,1972,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister (Department of Environment) (Planning & Local Government),1,1974,1974,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Department of Environment) (Sport),1,1974,1974,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Department of Health and Social Security) (Social Security),1,1976,1976,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Privy Council Office),1,1976,1976,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Trade),1,1979,1979,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Trade),1,1981,1981,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Health and Social Security) (Social Security and Disabled),1,1984,1984,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
"Minister (Department of Environment) (Environment, Countryside and Planning)",1,1986,1986,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Department of Environment) (Housing and Planning),1,1987,1987,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department of Environment) (Planning),1,1988,1988,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Lord Advocate (Law Officers),1,1989,1989,ambiguous,False,default,No rule matched; review/override if needed.
Minister (Department of Environment) (Housing),1,1990,1990,ambiguous,False,default,No rule matched; review/override if needed.
Minister of State (Department for Transport) (Public Transport),1,1990,1990,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department of Environment) (Housing and Planning),1,1990,1990,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Transport) (Railways and Roads),1,1992,1992,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
Minister of State (Department for Education),1,1994,1994,ambiguous,False,regex:\bminister of state\b,Often Cabinet-adjacent but not consistently senior; review/override.
