YR,SEX,AGE,POP,Agegroup
1901,2,<1,393100,
1901,1,<1,393500,
1901,2,01-04,1469600,
1901,1,01-04,1463800,
1901,2,05-09,1750700,
1901,1,05-09,1741600,
1901,2,10-14,1672700,
1901,1,10-14,1672800,
1901,2,15-19,1639600,
1901,1,15-19,1608600,
1901,2,20-24,1648900,
1901,1,20-24,1473400,
1901,2,85+,30800,
1901,1,85+,18100,
1901,2,T25-34,2778300,
1901,1,T25-34,2494200,
1901,2,T35-44,2074600,
1901,1,T35-44,1941600,
1901,2,T45-54,1513800,
1901,1,T45-54,1403300,
1901,2,T55-64,1039500,
1901,1,T55-64,912200,
1901,2,T65-74,601900,
1901,1,T65-74,480800,
1901,2,T75-84,229000,
1901,1,T75-84,165700,
1902,2,<1,400200,
1902,1,<1,402100,
1902,2,01-04,1467900,
1902,1,01-04,1462900,
1902,2,05-09,1760400,
1902,1,05-09,1751900,
1902,2,10-14,1680500,
1902,1,10-14,1680100,
1902,2,15-19,1643800,
1902,1,15-19,1613200,
1902,2,20-24,1651200,
1902,1,20-24,1476200,
1902,2,85+,31800,
1902,1,85+,18500,
1902,2,T25-34,2812200,
1902,1,T25-34,2527200,
1902,2,T35-44,2117200,
1902,1,T35-44,1980300,
1902,2,T45-54,1545100,
1902,1,T45-54,1431800,
1902,2,T55-64,1056600,
1902,1,T55-64,929100,
1902,2,T65-74,617200,
1902,1,T65-74,492800,
1902,2,T75-84,233100,
1902,1,T75-84,167500,
1903,2,<1,408900,
1903,1,<1,410700,
1903,2,01-04,1464800,
1903,1,01-04,1462200,
1903,2,05-09,1770200,
1903,1,05-09,1762400,
1903,2,10-14,1688300,
1903,1,10-14,1687500,
1903,2,15-19,1647900,
1903,1,15-19,1617800,
1903,2,20-24,1653600,
1903,1,20-24,1479100,
1903,2,85+,32900,
1903,1,85+,19000,
1903,2,T25-34,2846500,
1903,1,T25-34,2560700,
1903,2,T35-44,2160300,
1903,1,T35-44,2019400,
1903,2,T45-54,1576800,
1903,1,T45-54,1460600,
1903,2,T55-64,1073700,
1903,1,T55-64,946200,
1903,2,T65-74,632600,
1903,1,T65-74,504900,
1903,2,T75-84,237100,
1903,1,T75-84,169300,
1904,2,<1,407100,
1904,1,<1,408700,
1904,2,01-04,1477300,
1904,1,01-04,1477100,
1904,2,05-09,1784900,
1904,1,05-09,1777800,
1904,2,10-14,1700900,
1904,1,10-14,1699700,
1904,2,15-19,1656700,
1904,1,15-19,1626800,
1904,2,20-24,1660600,
1904,1,20-24,1486100,
1904,2,85+,34000,
1904,1,85+,19500,
1904,2,T25-34,2889100,
1904,1,T25-34,2601500,
1904,2,T35-44,2209800,
1904,1,T35-44,2064500,
