year,age_group,sex,population
1901,0-4,Female,1862700
1901,5-14,Female,3423400
1901,15-24,Female,3288500
1901,25-34,Female,2778300
1901,35-44,Female,2074600
1901,45-54,Female,1513800
1901,55-64,Female,1039500
1901,65-74,Female,601900
1901,75-84,Female,229000
1901,85+,Female,30800
1901,0-4,Male,1857300
1901,5-14,Male,3414400
1901,15-24,Male,3082000
1901,25-34,Male,2494200
1901,35-44,Male,1941600
1901,45-54,Male,1403300
1901,55-64,Male,912200
1901,65-74,Male,480800
1901,75-84,Male,165700
1901,85+,Male,18100
1902,0-4,Female,1868100
1902,5-14,Female,3440900
1902,15-24,Female,3295000
1902,25-34,Female,2812200
1902,35-44,Female,2117200
1902,45-54,Female,1545100
1902,55-64,Female,1056600
1902,65-74,Female,617200
1902,75-84,Female,233100
1902,85+,Female,31800
1902,0-4,Male,1865000
1902,5-14,Male,3432000
1902,15-24,Male,3089400
1902,25-34,Male,2527200
1902,35-44,Male,1980300
1902,45-54,Male,1431800
1902,55-64,Male,929100
1902,65-74,Male,492800
1902,75-84,Male,167500
1902,85+,Male,18500
1903,0-4,Female,1873700
1903,5-14,Female,3458500
1903,15-24,Female,3301500
1903,25-34,Female,2846500
1903,35-44,Female,2160300
1903,45-54,Female,1576800
1903,55-64,Female,1073700
1903,65-74,Female,632600
1903,75-84,Female,237100
1903,85+,Female,32900
1903,0-4,Male,1872900
1903,5-14,Male,3449900
1903,15-24,Male,3096900
1903,25-34,Male,2560700
1903,35-44,Male,2019400
1903,45-54,Male,1460600
1903,55-64,Male,946200
1903,65-74,Male,504900
1903,75-84,Male,169300
1903,85+,Male,19000
1904,0-4,Female,1884400
1904,5-14,Female,3485800
1904,15-24,Female,3317300
1904,25-34,Female,2889100
1904,35-44,Female,2209800
1904,45-54,Female,1613300
1904,55-64,Female,1094100
1904,65-74,Female,649900
1904,75-84,Female,241900
1904,85+,Female,34000
1904,0-4,Male,1885800
1904,5-14,Male,3477500
1904,15-24,Male,3112900
1904,25-34,Male,2601500
1904,35-44,Male,2064500
1904,45-54,Male,1493800
1904,55-64,Male,966200
1904,65-74,Male,518500
1904,75-84,Male,171500
1904,85+,Male,19500
1905,0-4,Female,1884900
1905,5-14,Female,3494300
1905,15-24,Female,3314900
1905,25-34,Female,2916200
1905,35-44,Female,2247700
1905,45-54,Female,1641200
1905,55-64,Female,1108700
1905,65-74,Female,663900
1905,75-84,Female,245400
1905,85+,Female,35000
1905,0-4,Male,1888600
1905,5-14,Male,3486300
1905,15-24,Male,3112100
1905,25-34,Male,2628500
1905,35-44,Male,2098800
1905,45-54,Male,1519200
1905,55-64,Male,981000
1905,65-74,Male,529400
1905,75-84,Male,172900
1905,85+,Male,19900
1906,0-4,Female,1890500
1906,5-14,Female,3512500
1906,15-24,Female,3321700
1906,25-34,Female,2951500
1906,35-44,Female,2292100
1906,45-54,Female,1673900
1906,55-64,Female,1126400
1906,65-74,Female,679800
1906,75-84,Female,249600
1906,85+,Female,36100
1906,0-4,Male,1896700
1906,5-14,Male,3504700
1906,15-24,Male,3119800
1906,25-34,Male,2663000
1906,35-44,Male,2139100
1906,45-54,Male,1548900
1906,55-64,Male,998700
1906,65-74,Male,541800
1906,75-84,Male,174800
1906,85+,Male,20400
1907,0-4,Female,1896200
1907,5-14,Female,3530900
1907,15-24,Female,3328500
1907,25-34,Female,2987300
1907,35-44,Female,2337000
1907,45-54,Female,1707000
1907,55-64,Female,1144300
1907,65-74,Female,695900
1907,75-84,Female,253900
1907,85+,Female,37100
1907,0-4,Male,1904800
1907,5-14,Male,3523400
1907,15-24,Male,3127600
1907,25-34,Male,2697800
1907,35-44,Male,2179900
1907,45-54,Male,1578900
1907,55-64,Male,1016500
1907,65-74,Male,554400
1907,75-84,Male,176700
1907,85+,Male,20900
1908,0-4,Female,1907200
1908,5-14,Female,3559200
1908,15-24,Female,3344600
1908,25-34,Female,3031600
1908,35-44,Female,2388800
1908,45-54,Female,1745100
1908,55-64,Female,1165600
1908,65-74,Female,714000
1908,75-84,Female,258900
1908,85+,Female,38300
1908,0-4,Male,1918300
1908,5-14,Male,3551900
1908,15-24,Male,3144100
1908,25-34,Male,2740500
1908,35-44,Male,2227100
1908,45-54,Male,1613700
1908,55-64,Male,1037400
1908,65-74,Male,568700
1908,75-84,Male,179000
1908,85+,Male,21400
1909,0-4,Female,1907900
1909,5-14,Female,3568200
1909,15-24,Female,3342400
1909,25-34,Female,3059800
1909,35-44,Female,2428100
1909,45-54,Female,1774100
1909,55-64,Female,1180800
1909,65-74,Female,728500
1909,75-84,Female,262500
1909,85+,Female,39300
1909,0-4,Male,1921300
1909,5-14,Male,3561100
1909,15-24,Male,3143400
1909,25-34,Male,2768500
1909,35-44,Male,2262700
1909,45-54,Male,1639900
1909,55-64,Male,1052800
1909,65-74,Male,580000
1909,75-84,Male,180500
1909,85+,Male,21900
1910,0-4,Female,1913800
1910,5-14,Female,3587200
1910,15-24,Female,3349400
1910,25-34,Female,3096700
1910,35-44,Female,2474400
1910,45-54,Female,1808100
1910,55-64,Female,1199200
