election_date,pension_era,time_window,months_before,appointments,avg_tenure_years,median_tenure_years,unique_people,short_tenures_count,first_timers_count,one_time_only_count,one_time_only_avg_tenure
1970-06-18,Pre-2015,Last 1 month,1,1,0.05201916495550993,0.05201916495550993,1,1,0,0,0.0
1970-06-18,Pre-2015,Last 3 months,3,1,0.05201916495550993,0.05201916495550993,1,1,0,0,0.0
1970-06-18,Pre-2015,Last 6 months,6,2,1.0253251197809718,1.0253251197809718,2,1,1,0,0.0
1970-06-18,Pre-2015,Last 12 months,12,21,0.7147094292884847,0.6817248459958932,21,20,4,0,0.0
1970-06-18,Pre-2015,More than 12 months,999,175,1.783514227046055,1.7111567419575633,75,45,75,8,1.604722792607803
1974-10-10,Pre-2015,Last 1 month,1,1,1.4154688569472964,1.4154688569472964,1,0,0,0,0.0
1974-10-10,Pre-2015,Last 3 months,3,3,2.7743554642938624,2.127310061601643,3,0,1,1,4.780287474332649
1974-10-10,Pre-2015,Last 6 months,6,10,2.4796714579055443,1.9630390143737166,10,1,3,3,3.4058863791923337
1974-10-10,Pre-2015,Last 12 months,12,106,1.8542740175377423,1.3141683778234086,99,41,44,17,3.7255707211015827
1974-10-10,Pre-2015,More than 12 months,999,311,1.6352364037317522,1.486652977412731,127,97,128,11,1.9451185364943064
1979-05-03,Pre-2015,Last 6 months,6,3,0.4143280857859913,0.4736481861738535,3,3,1,1,0.2929500342231348
1979-05-03,Pre-2015,Last 12 months,12,8,0.6036960985626283,0.5215605749486654,8,8,3,3,0.5420944558521561
1979-05-03,Pre-2015,More than 12 months,999,508,1.832705460072111,1.7111567419575633,197,152,198,44,2.9491630887934788
1983-06-09,Pre-2015,Last 6 months,6,17,2.3498812255908526,2.321697467488022,17,4,3,0,0.0
1983-06-09,Pre-2015,Last 12 months,12,17,2.3498812255908526,2.321697467488022,17,4,3,0,0.0
1983-06-09,Pre-2015,More than 12 months,999,686,1.9572041195474963,1.754962354551677,267,177,268,61,2.913701596705603
1987-06-11,Pre-2015,Last 6 months,6,1,10.329911019849419,10.329911019849419,1,0,0,0,0.0
1987-06-11,Pre-2015,Last 12 months,12,27,2.1751717494359517,1.7741273100616017,27,10,8,1,2.8747433264887063
1987-06-11,Pre-2015,More than 12 months,999,819,2.0239704017938105,1.8781656399726214,296,196,297,65,2.8904543779287106
1992-04-09,Pre-2015,Last 3 months,3,1,2.521560574948665,2.521560574948665,1,0,1,0,0.0
1992-04-09,Pre-2015,Last 6 months,6,2,2.761122518822724,2.761122518822724,2,0,1,0,0.0
1992-04-09,Pre-2015,Last 12 months,12,2,2.761122518822724,2.761122518822724,2,0,1,0,0.0
1992-04-09,Pre-2015,More than 12 months,999,1046,2.011953885798119,1.7727583846680357,344,250,345,71,2.829549507861681
1997-05-01,Pre-2015,Last 6 months,6,3,0.38147387634040614,0.3860369609856263,3,3,1,1,0.3860369609856263
1997-05-01,Pre-2015,Last 12 months,12,20,0.719917864476386,0.7748117727583846,20,20,5,5,0.7249828884325804
1997-05-01,Pre-2015,More than 12 months,999,1236,1.9885502016839112,1.782340862422998,393,292,394,92,2.747165431657888
2001-06-07,Pre-2015,Last 6 months,6,10,0.9645448323066393,0.7104722792607803,10,6,2,0,0.0
2001-06-07,Pre-2015,Last 12 months,12,10,0.9645448323066393,0.7104722792607803,10,6,2,0,0.0
2001-06-07,Pre-2015,More than 12 months,999,1449,1.984679183500717,1.7741273100616017,512,338,513,129,2.7002212565461696
2005-05-05,Pre-2015,Last 6 months,6,6,0.7223362993383527,0.39561943874058864,6,4,1,0,0.0
2005-05-05,Pre-2015,Last 12 months,12,17,0.7074928534041953,0.6652977412731006,15,14,2,0,0.0
2005-05-05,Pre-2015,More than 12 months,999,1616,1.986571655112123,1.787816563997262,554,375,555,133,2.698759218374478
2010-05-06,Pre-2015,Last 6 months,6,1,0.487337440109514,0.487337440109514,1,1,0,0,0.0
2010-05-06,Pre-2015,Last 12 months,12,66,0.8305643706054384,0.9062286105407256,58,66,7,6,0.9044033766826374
2010-05-06,Pre-2015,More than 12 months,999,1919,1.886538983521177,1.6673511293634498,609,484,611,144,2.6562286105407256
2015-05-07,2015+,Last 12 months,12,61,1.55289998990137,1.678302532511978,50,30,16,2,1.2566735112936345
2015-05-07,2015+,More than 12 months,999,2212,1.8793971777362726,1.6646132785763177,736,585,742,182,2.622906183481132
2019-12-12,2015+,Last 3 months,3,2,2.405201916495551,2.405201916495551,2,0,1,0,0.0
2019-12-12,2015+,Last 6 months,6,84,1.1880244378533222,0.5585215605749486,73,51,20,0,0.0
2019-12-12,2015+,Last 12 months,12,108,1.0511782536423193,0.5585215605749486,83,72,28,0,0.0
2019-12-12,2015+,More than 12 months,999,2574,1.8000305269299108,1.5359342915811087,825,745,839,193,2.5525564504402904
