election_date,party_leader,appointments_6m_before,avg_tenure_6m_before,appointments_6m_after,avg_tenure_6m_after,appointments_1y_before,avg_tenure_1y_before,unique_people_6m_before,unique_people_6m_after
1970-06-18,Conservative - Heath,2,1.0253251197809718,62,1.6771544015367288,21,0.7147094292884847,2,44
1974-10-10,Labour - Wilson,10,2.4796714579055443,13,2.6515031853840894,106,1.8542740175377423,10,13
1979-05-03,Conservative - Thatcher,3,0.4143280857859913,84,2.76601153808546,8,0.6036960985626283,3,84
1983-06-09,Conservative - Thatcher,17,2.3498812255908526,52,2.7299004896540833,17,2.3498812255908526,17,50
1987-06-11,Conservative - Thatcher,1,10.329911019849419,46,2.432878016843734,27,2.1751717494359517,1,45
1992-04-09,Conservative - Major,2,2.761122518822724,56,2.349467096900362,2,2.761122518822724,2,56
1997-05-01,Labour - Blair,3,0.38147387634040614,91,2.2987717279298385,20,0.719917864476386,3,89
2001-06-07,Labour - Blair,10,0.9645448323066393,69,2.1783372516342787,10,0.9645448323066393,10,69
2005-05-05,Labour - Blair,6,0.7223362993383527,59,1.5320827387788722,17,0.7074928534041953,6,58
2010-05-06,Conservative - Cameron,1,0.487337440109514,102,2.784904242326637,66,0.8305643706054384,1,96
2015-05-07,Conservative - Cameron,0,,59,1.4096683256186269,61,1.55289998990137,0,55
2019-12-12,Conservative - Johnson,84,1.1880244378533222,68,1.5157322713790886,108,1.0511782536423193,73,56
2024-07-04,Labour - Starmer,8,0.2546201232032854,84,1.030116358658453,52,0.5991154635918496,8,72
