election_date,election_year,time_period,total_appointments,unique_people,first_timers,avg_tenure_years,short_tenures_pct
1970-06-18,1970,9-6 months before,2,2,1,0.7008898015058179,100.0
1974-02-28,1974,3-1 months before,3,3,2,0.21811544604152408,100.0
1974-10-10,1974,12-9 months before,3,3,2,0.21811544604152408,100.0
1974-10-10,1974,9-6 months before,11,11,9,3.1689378383423557,0.0
1974-10-10,1974,6-3 months before,1,1,1,1.2347707049965777,0.0
1979-05-03,1979,6-3 months before,1,1,1,0.4736481861738535,100.0
1983-06-09,1983,6-3 months before,2,2,1,1.7152635181382616,50.0
1992-04-09,1992,6-3 months before,1,1,1,3.0006844626967832,0.0
1997-05-01,1997,12-9 months before,1,1,1,0.9117043121149897,100.0
2001-06-07,2001,6-3 months before,2,2,1,2.0602327173169064,0.0
2005-05-05,2005,9-6 months before,2,2,1,0.6557152635181382,100.0
2005-05-05,2005,6-3 months before,1,1,1,1.3853524982888432,0.0
2010-05-06,2010,12-9 months before,7,7,2,0.9148332844431408,100.0
2015-05-07,2015,12-9 months before,8,8,4,1.8292265571526352,25.0
2017-06-08,2017,12-9 months before,17,17,9,1.691347586262431,35.294117647058826
2019-12-12,2019,9-6 months before,3,3,2,0.20990189368012777,100.0
2019-12-12,2019,6-3 months before,20,20,11,1.7085557837097878,45.0
2024-07-04,2024,12-9 months before,4,4,2,0.8624229979466119,100.0
2024-07-04,2024,9-6 months before,8,8,6,0.6430527036276523,100.0
