icd_version,icd_code,cause_description,l1_category_code,l1_category_name,first_year,last_year,years_active,total_deaths,avg_deaths_per_year,max_population,deaths_per_100k
ICD-1,10,Small pox - vaccinated,L1_01,Infectious and Communicable Diseases,1901,1910,8,1193,149.125,3587200,4.157142060660125
ICD-1,100,Plague,L1_01,Infectious and Communicable Diseases,1901,1910,6,21,3.5,3587200,0.09756913470115969
ICD-1,1000,Pericarditis,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,4565,456.5,3587200,12.725802854594113
ICD-1,1010,Angina pectoris,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,8422,842.2,3587200,23.47792149866191
ICD-1,1020,Fatty degeneration of heart,L1_06,Respiratory and Environmental Disease,1901,1910,10,22875,2287.5,3587200,63.76839875111508
ICD-1,1030,Hypertrophy of heart,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2349,234.9,3587200,6.54828278322926
ICD-1,1040,Dilation of heart,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,30226,3022.6,3587200,84.26070472792149
ICD-1,1050,"Syncope, heart disease (not spec.)",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,271876,27187.6,3587200,757.9058876003568
ICD-1,1060,"Cerebral haemorrhage, cerebral embolism",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,150752,15075.2,3587200,420.24977698483497
ICD-1,1070,"Apoplexy, hemiplegia",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,94877,9487.7,3587200,264.4876226583408
ICD-1,1080,Aneurysm,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,10840,1084.0,3587200,30.2185548617306
ICD-1,1090,Senile gangrene,L1_04,Later-Life Mortality,1901,1910,10,14211,1421.1,3587200,39.61585637823372
ICD-1,110,Relapsing fever,L1_01,Infectious and Communicable Diseases,1901,1910,8,22,2.75,3587200,0.0766614629794826
ICD-1,1100,"Embolism, thrombosis (not cerebral)",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,4678,467.8,3587200,13.040811775200714
ICD-1,1110,Phlebitis,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,1445,144.5,3587200,4.02821141837645
ICD-1,1120,Varicose veins,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,1058,105.8,3587200,2.9493755575379126
ICD-1,1130,Other diseases of blood vessels,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,21094,2109.4,3587200,58.80352363960749
ICD-1,1140,Laryngitis,L1_06,Respiratory and Environmental Disease,1901,1910,10,11045,1104.5,3587200,30.7900312221231
ICD-1,1150,Membranous laryngitis (not diphtheritic),L1_06,Respiratory and Environmental Disease,1901,1910,10,325,32.5,3587200,0.9059991079393399
ICD-1,1160,Croup (not spasmodic nor membranous),L1_02,Maternal and Early-Life Mortality,1901,1910,10,4288,428.8,3587200,11.953612845673506
ICD-1,1170,Other diseases of larynx and trachea,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,436,43.6,3587200,1.2154326494201606
ICD-1,1180,Bronchitis,L1_06,Respiratory and Environmental Disease,1901,1910,10,398315,39831.5,3587200,1110.3785682426405
ICD-1,1190,"Emphysema, asthma",L1_06,Respiratory and Environmental Disease,1901,1910,10,16884,1688.4,3587200,47.067350579839434
ICD-1,120,Influenza,L1_01,Infectious and Communicable Diseases,1901,1910,10,73176,7317.6,3587200,203.9919714540589
ICD-1,1200,Pleurisy,L1_06,Respiratory and Environmental Disease,1901,1910,10,13429,1342.9,3587200,37.43588314005353
ICD-1,1210,Fibroid disease of lung,L1_06,Respiratory and Environmental Disease,1901,1910,10,5896,589.6,3587200,16.43621766280107
ICD-1,1220,Other diseases of respiratory system,L1_06,Respiratory and Environmental Disease,1901,1910,10,27979,2797.9,3587200,77.99676628010705
ICD-1,1230,"Tonsillitis, quinsy",L1_01,Infectious and Communicable Diseases,1901,1910,10,3871,387.1,3587200,10.791146297948261
ICD-1,1240,"Diseases of mouth, pharynx, oesophagus (not spec.)",L1_01,Infectious and Communicable Diseases,1901,1910,10,5532,553.2,3587200,15.421498661909013
ICD-1,1250,Gastric ulcer,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,17172,1717.2,3587200,47.87020517395183
ICD-1,1260,"Gastritis, gastric catarrh",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,21303,2130.3,3587200,59.38615075825156
ICD-1,1270,Other diseases of stomach (not malignant),L1_05,Chronic Non-Communicable Diseases,1901,1910,10,21360,2136.0,3587200,59.545049063336315
ICD-1,1280,Ulceration of intestines,L1_05,Chronic Non-Communicable Diseases,1905,1910,6,4220,703.3333333333334,3587200,19.606749925661614
ICD-1,1290,Enteritis (not epidemic),L1_01,Infectious and Communicable Diseases,1901,1910,10,44036,4403.6,3587200,122.75869759143623
ICD-1,130,Whooping cough,L1_01,Infectious and Communicable Diseases,1901,1910,10,94548,9454.8,3587200,263.5704727921498
ICD-1,1300,Gastro-enteritis,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,30884,3088.4,3587200,86.0950044603033
ICD-1,1310,"Appendicitis, perityphlitis",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,19177,1917.7,3587200,53.459522747546835
ICD-1,1320,Hernia,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,14812,1481.2,3587200,41.291257805530776
ICD-1,1330,Intestinal obstruction,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,25733,2573.3,3587200,71.7356155218555
ICD-1,1340,Other diseases of intestines,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2718,271.8,3587200,7.5769402319357715
ICD-1,1350,Peritonitis (not puerperal),L1_05,Chronic Non-Communicable Diseases,1901,1910,10,8884,888.4,3587200,24.76583407671722
ICD-1,1360,Cirrhosis of liver,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,38444,3844.4,3587200,107.16993755575379
ICD-1,1370,Other diseases of liver and gall bladder,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,21833,2183.3,3587200,60.86362622658341
ICD-1,1380,Other diseases of digestive system,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,4249,424.9,3587200,11.844892952720784
ICD-1,1390,Diseases of spleen,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,515,51.5,3587200,1.4356601248884924
ICD-1,140,Mumps,L1_01,Infectious and Communicable Diseases,1901,1910,10,1023,102.3,3587200,2.851806422836753
ICD-1,1400,Other diseases of lymphatic system,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,3919,391.9,3587200,10.924955396966993
ICD-1,1410,Diseases of thyroid body,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,5091,509.1,3587200,14.192127564674399
ICD-1,1420,Diseases of supra renal capsules,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2012,201.2,3587200,5.608831400535236
ICD-1,1430,"Acute nephritis, uraemia",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,33086,3308.6,3587200,92.23349687778769
ICD-1,1440,"Chronic Bright's disease, albuminuria",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,99435,9943.5,3587200,277.19391168599464
ICD-1,1450,Calculus (not biliary),L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2478,247.8,3587200,6.907894736842106
ICD-1,1460,Diseases of bladder and of prostate,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,24689,2468.9,3587200,68.82526761819804
ICD-1,1470,Other diseases of urinary system,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,5902,590.2,3587200,16.452943800178414
ICD-1,1480,Ovarian tumour (not malignant),L1_05,Chronic Non-Communicable Diseases,1901,1910,10,3456,345.6,3587200,9.634255129348796
ICD-1,1490,Other diseases of ovary,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,451,45.1,3587200,1.2572479928635147
ICD-1,150,Diphtheria,L1_01,Infectious and Communicable Diseases,1901,1910,10,60924,6092.4,3587200,169.8371989295272
ICD-1,1500,Uterine tumour (not malignant),L1_05,Chronic Non-Communicable Diseases,1901,1910,10,3404,340.4,3587200,9.4892952720785
ICD-1,1510,Other diseases of uterus and vagina,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,3075,307.5,3587200,8.5721454058876
ICD-1,1520,Disorders of menstruation,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,452,45.2,3587200,1.2600356824264052
ICD-1,1530,Other diseases of generative and mammary organs,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,727,72.7,3587200,2.026650312221231
ICD-1,1540,"Abortion, miscarriage",L1_02,Maternal and Early-Life Mortality,1901,1910,10,1235,123.5,3587200,3.4427966101694913
ICD-1,1550,Puerperal mania,L1_02,Maternal and Early-Life Mortality,1901,1910,10,624,62.4,3587200,1.7395182872435326
ICD-1,1560,Puerperal convulsions,L1_02,Maternal and Early-Life Mortality,1901,1910,10,4261,426.1,3587200,11.878345227475469
ICD-1,1570,"Placenta praevia, flooding",L1_02,Maternal and Early-Life Mortality,1901,1910,10,6185,618.5,3587200,17.24185994647636
ICD-1,1580,Other accidents of pregnancy and childbirth,L1_02,Maternal and Early-Life Mortality,1901,1910,10,8590,859.0,3587200,23.946253345227476
ICD-1,1590,"Caries, necrosis",L1_06,Respiratory and Environmental Disease,1901,1910,10,4625,462.5,3587200,12.89306422836753
ICD-1,160,Cerebro-spinal fever,L1_01,Infectious and Communicable Diseases,1901,1910,10,1005,100.5,3587200,2.801628010704728
ICD-1,1600,"Arthritis, periostitis",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2262,226.2,3587200,6.305753791257805
ICD-1,1610,Other diseases of locomotor system,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,3069,306.9,3587200,8.555419268510258
ICD-1,1620,"Ulcer, bed-sore",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,4416,441.6,3587200,12.31043710972346
ICD-1,1630,Eczema,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,3087,308.7,3587200,8.605597680642283
ICD-1,1640,Pemphigus,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2100,210.0,3587200,5.854148082069581
ICD-1,1650,Other diseases of the skin,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2253,225.3,3587200,6.2806645851917935
ICD-1,1660,"Atrophy, debility",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,161027,16102.7,3587200,448.89328724353254
ICD-1,1670,Old age,L1_04,Later-Life Mortality,1901,1910,10,319113,31911.3,3587200,889.5879794826047
ICD-1,1680,"Dropsy, ascites, anasarca",L1_05,Chronic Non-Communicable Diseases,1901,1910,10,1186,118.6,3587200,3.306199821587868
ICD-1,1690,Tumour,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,838,83.8,3587200,2.3360838537020516
ICD-1,170,Pyrexia (origin uncertain),L1_01,Infectious and Communicable Diseases,1901,1910,10,509,50.9,3587200,1.4189339875111506
ICD-1,1700,Abscess,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,2966,296.6,3587200,8.26828724353256
ICD-1,1710,Haemorrhage,L1_05,Chronic Non-Communicable Diseases,1901,1910,10,385,38.5,3587200,1.0732604817127565
