parliament_year,quarter,appointments,avg_tenure_years,median_tenure_years,unique_people,short_tenures_pct
1959,1,1,1.7111567419575633,1.7111567419575633,1,0.0
1959,4,2,1.9822039698836413,1.9822039698836413,2,0.0
1966,1,2,2.331279945242984,2.331279945242984,2,0.0
1966,2,1,2.198494182067077,2.198494182067077,1,0.0
1966,4,3,0.8487337440109514,0.7008898015058179,3,66.66666666666666
1970,1,9,2.389535325880295,2.272416153319644,8,11.11111111111111
1970,3,6,1.4980606890257813,1.46611909650924,6,0.0
1970,4,3,0.21811544604152408,0.2518822724161533,3,100.0
1974,1,9,2.8640961289831925,3.0691307323750854,9,0.0
1974,2,6,2.645676477298654,2.64476386036961,6,0.0
1974,4,1,0.4736481861738535,0.4736481861738535,1,100.0
1979,1,15,3.16641569701118,2.3600273785078714,15,0.0
1979,2,5,1.4335386721423684,1.2457221081451062,5,40.0
1979,3,8,2.6587953456536617,1.9123887748117727,8,12.5
1979,4,4,1.4462696783025326,1.1772758384668036,4,25.0
1983,1,10,2.645037645448323,2.2258726899383983,9,20.0
1983,2,1,0.974674880219028,0.974674880219028,1,100.0
1983,4,11,2.4655590815755093,1.7768651608487338,10,9.090909090909092
1987,1,12,1.8256901665525893,2.11088295687885,10,16.666666666666664
1987,2,12,1.964636093999544,1.3470225872689938,12,8.333333333333332
1987,3,7,1.7807763762589224,1.434633812457221,7,0.0
1987,4,7,2.221570352987191,1.3661875427789185,7,0.0
1992,1,13,2.710682883167483,2.2751540041067764,13,7.6923076923076925
1992,2,5,2.4202600958247777,1.9548254620123204,5,0.0
1992,3,8,0.9568788501026694,0.9568788501026694,8,100.0
1992,4,14,1.6650044001173365,1.8234086242299794,14,14.285714285714285
1997,1,17,2.5737407899504765,1.4811772758384667,16,5.88235294117647
1997,2,9,1.3953912845083276,0.8021902806297057,8,55.55555555555556
1997,3,10,2.3460643394934975,1.7768651608487338,10,10.0
1997,4,2,2.0602327173169064,2.0602327173169064,2,0.0
2001,1,10,2.430116358658453,1.5742642026009581,10,30.0
2001,2,8,2.57015742642026,2.4052019164955514,8,12.5
2001,3,5,1.990965092402464,1.9000684462696784,4,20.0
2001,4,3,0.8989276751083732,0.6570841889117043,3,66.66666666666666
2005,1,18,1.2584987451517227,1.1471594798083504,14,27.77777777777778
2005,3,20,1.759890485968515,1.3634496919917864,18,15.0
2005,4,12,0.9655487109285876,0.9144421629021219,11,83.33333333333334
2010,1,21,3.0142433427854374,2.321697467488022,20,9.523809523809524
2010,2,3,2.302532511978097,2.751540041067762,3,33.33333333333333
2010,3,13,2.6009582477754964,1.8535249828884326,13,0.0
2010,4,11,1.6200609794038954,1.678302532511978,11,27.27272727272727
2015,1,12,1.4391968971024414,1.1854893908281998,12,0.0
2015,3,2,1.9767282683093772,1.9767282683093772,2,50.0
2015,4,17,1.691347586262431,1.486652977412731,17,35.294117647058826
2017,1,9,1.260019773366796,1.4729637234770705,9,44.44444444444444
2017,2,14,1.176884716925785,1.136208076659822,12,35.714285714285715
2017,3,2,1.0075290896646132,1.0075290896646132,2,50.0
2017,4,23,1.513079189358093,0.5585215605749486,23,52.17391304347826
2019,1,13,1.675985889538251,1.5879534565366187,13,15.384615384615385
2019,2,68,0.6175098002613403,0.3997262149212868,49,75.0
2019,3,29,0.9184073261110718,0.7967145790554415,25,62.06896551724138
2019,4,36,1.0454026922199406,1.1663244353182751,30,8.333333333333332
