election_date,election_year,is_post_reform,final_year_appointments,final_year_unique_people,final_year_first_timers,final_year_avg_tenure,final_year_short_pct,control_appointments,control_unique_people,control_first_timers,control_avg_tenure,control_short_pct
1970-06-18,1970,False,2,2,1,0.7008898015058179,100.0,1,1,1,1.1444216290212184,0.0
1974-02-28,1974,False,3,3,2,0.21811544604152408,100.0,6,6,1,1.4980606890257813,0.0
1974-10-10,1974,False,15,15,12,2.4498288843258043,20.0,3,3,0,1.3260323979009812,0.0
1979-05-03,1979,False,1,1,1,0.4736481861738535,100.0,0,0,0,0.0,0.0
1983-06-09,1983,False,2,2,1,1.7152635181382616,50.0,10,10,3,2.36249144421629,10.0
1992-04-09,1992,False,1,1,1,3.0006844626967832,0.0,11,11,5,1.9687636114740839,0.0
1997-05-01,1997,False,1,1,1,0.9117043121149897,100.0,13,13,6,1.7229505607329019,7.6923076923076925
2001-06-07,2001,False,2,2,1,2.0602327173169064,0.0,8,8,4,2.696098562628337,0.0
2005-05-05,2005,False,3,3,2,0.8989276751083732,66.66666666666666,4,4,2,2.441478439425051,0.0
2010-05-06,2010,False,7,7,2,0.9148332844431408,100.0,5,5,2,1.0365503080082135,60.0
2015-05-07,2015,True,8,8,4,1.8292265571526352,25.0,3,3,3,1.0622861054072554,33.33333333333333
2017-06-08,2017,True,17,17,9,1.691347586262431,35.294117647058826,2,2,1,1.9767282683093772,50.0
2019-12-12,2019,True,23,23,13,1.5130791893580926,52.17391304347826,16,14,8,1.1557152635181382,37.5
2024-07-04,2024,True,12,12,8,0.7161761350673056,100.0,65,49,39,0.6922129205496761,61.53846153846154
