election_date,year,party_leader,party,pension_era,appts_3m,senior_appts_3m,pension_abusers_3m,senior_abusers_3m,pension_abuse_pct_3m,avg_tenure_3m,appts_6m,senior_appts_6m,pension_abusers_6m,senior_abusers_6m,pension_abuse_pct_6m,avg_tenure_6m,appts_9m,senior_appts_9m,pension_abusers_9m,senior_abusers_9m,pension_abuse_pct_9m,avg_tenure_9m,appts_12m,senior_appts_12m,pension_abusers_12m,senior_abusers_12m,pension_abuse_pct_12m,avg_tenure_12m
1970-06-18,1970,Conservative - Heath,Conservative,Pre-2015,1,0,0,0,0.0,0.05201916495550993,2,0,0,0,0.0,1.0253251197809718,19,2,0,0,0.0,0.6903706905868368,21,2,0,0,0.0,0.7147094292884847
1974-10-10,1974,Labour - Wilson,Labour,Pre-2015,3,0,1,0,33.33333333333333,2.7743554642938624,10,1,3,0,30.0,2.4796714579055443,77,12,15,1,19.480519480519483,2.4109087353440537,106,15,17,1,16.037735849056602,1.8542740175377423
1979-05-03,1979,Conservative - Thatcher,Conservative,Pre-2015,0,0,0,0,0.0,0.0,3,1,1,0,33.33333333333333,0.4143280857859913,4,1,2,0,50.0,0.43737166324435317,8,1,3,0,37.5,0.6036960985626283
1983-06-09,1983,Conservative - Thatcher,Conservative,Pre-2015,0,0,0,0,0.0,0.0,17,2,0,0,0.0,2.3498812255908526,17,2,0,0,0.0,2.3498812255908526,17,2,0,0,0.0,2.3498812255908526
1987-06-11,1987,Conservative - Thatcher,Conservative,Pre-2015,0,0,0,0,0.0,0.0,1,0,0,0,0.0,10.329911019849419,10,0,0,0,0.0,2.340041067761807,27,0,1,0,3.7037037037037033,2.1751717494359517
1992-04-09,1992,Conservative - Major,Conservative,Pre-2015,1,0,0,0,0.0,2.521560574948665,2,1,0,0,0.0,2.761122518822724,2,1,0,0,0.0,2.761122518822724,2,1,0,0,0.0,2.761122518822724
1997-05-01,1997,Labour - Blair,Labour,Pre-2015,0,0,0,0,0.0,0.0,3,0,1,0,33.33333333333333,0.38147387634040614,3,0,1,0,33.33333333333333,0.38147387634040614,20,1,5,0,25.0,0.719917864476386
2001-06-07,2001,Labour - Blair,Labour,Pre-2015,0,0,0,0,0.0,0.0,10,2,0,0,0.0,0.9645448323066393,10,2,0,0,0.0,0.9645448323066393,10,2,0,0,0.0,0.9645448323066393
2005-05-05,2005,Labour - Blair,Labour,Pre-2015,0,0,0,0,0.0,0.0,6,1,0,0,0.0,0.7223362993383527,17,3,0,0,0.0,0.7074928534041953,17,3,0,0,0.0,0.7074928534041953
2010-05-06,2010,Conservative - Cameron,Conservative,Pre-2015,0,0,0,0,0.0,0.0,1,0,0,0,0.0,0.487337440109514,5,0,0,0,0.0,0.5601642710472279,66,7,6,0,9.090909090909092,0.8305643706054384
2015-05-07,2015,Conservative - Cameron,Conservative,2015+,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,0,1,0,16.666666666666664,1.1594798083504447,61,8,2,0,3.278688524590164,1.55289998990137
2019-12-12,2019,Conservative - Johnson,Conservative,2015+,1,0,0,0,0.0,1.9931553730321698,84,20,0,0,0.0,1.1880244378533222,106,23,0,0,0.0,1.066166942445326,108,23,0,0,0.0,1.0511782536423193
